"orf" "gene" "FGMean" "FGMean2" "geneflag"
"orf19.5007" "ACT1/ACT" 54820.1551724138 37431.7928506004 1
"orf19.5007" "ACT1/ACT" 21654.0517241379 14785.6199232723 1
"orf19.5007" "ACT1/ACT" 64031.0192307692 28146.2468757573 1
"orf19.5007" "ACT1/ACT" 31164.0344827586 13698.8387618049 1
"orf19.5007" "ACT1/ACT" 25749.3103448276 26082.7991284769 1
"orf19.5007" "ACT1/ACT" 8426.5 8535.63469905751 1
"orf19.5383" "PMA1" 4230.41304347826 2888.57162512450 1
"orf19.5383" "PMA1" 5579.76923076923 3809.92657433063 1
"orf19.5383" "PMA1" 5213.53846153846 2291.72582909945 1
"orf19.5383" "PMA1" 12537.0769230769 5510.94869980948 1
"orf19.5383" "PMA1" 2323.32758620690 2353.41785582450 1
"orf19.5383" "PMA1" 2929.33928571429 2967.27823562039 1
"orf19.5928" "RPP2B/CARP2B/RP2B" 14350.9615384615 9798.99122549262 1
"orf19.5928" "RPP2B/CARP2B/RP2B" 64096.3571428571 43765.6835429182 1
"orf19.5928" "RPP2B/CARP2B/RP2B" 18552.4912280702 8155.15674338443 1
"orf19.5928" "RPP2B/CARP2B/RP2B" 64492.2307692308 28348.9825807240 1
"orf19.5928" "RPP2B/CARP2B/RP2B" 23736.8793103448 24044.3043599026 1
"orf19.5928" "RPP2B/CARP2B/RP2B" 4276.96428571429 4332.35682237852 1
"orf19.5893" "RIP1" 54901 37486.9945702915 1
"orf19.5893" "RIP1" 4972.47368421053 3395.25862918558 1
"orf19.5893" "RIP1" 49293.875 21668.2100625693 1
"orf19.5893" "RIP1" 16068.5087719298 7063.26746400872 1
"orf19.5893" "RIP1" 6110.10344827586 6189.23764409119 1
"orf19.5893" "RIP1" 43729.8035714286 44296.1643324340 1
"orf19.3651" "PGK1/PGK" 55342.9655172414 37788.7733893492 1
"orf19.3651" "PGK1/PGK" 60113.1578947368 41045.9121619475 1
"orf19.3651" "PGK1/PGK" 64555.1923076923 28376.6587137375 1
"orf19.3651" "PGK1/PGK" 65535 28807.3547971321 1
"orf19.3651" "PGK1/PGK" 35633.4821428571 36094.9844688563 1
"orf19.3651" "PGK1/PGK" 52798.8490566038 53482.6663594431 1
"orf19.3838" "EFB1" 39492.3793103448 26965.8222760021 1
"orf19.3838" "EFB1" 49467.3275862069 33776.8244773496 1
"orf19.3838" "EFB1" 65133.9298245614 28631.0555548584 1
"orf19.3838" "EFB1" 65535 28807.3547971321 1
"orf19.3838" "EFB1" 35637.5283018868 36099.0830311789 1
"orf19.3838" "EFB1" 25107.2413793103 25432.4144917645 1
"orf19.6814" "TDH3/G3P/GAP/GAP1/TDH1" 58041.224137931 39631.1734597128 1
"orf19.6814" "TDH3/G3P/GAP/GAP1/TDH1" 44923.5263157895 30674.2679929027 1
"orf19.6814" "TDH3/G3P/GAP/GAP1/TDH1" 65535 28807.3547971321 1
"orf19.6814" "TDH3/G3P/GAP/GAP1/TDH1" 65535 28807.3547971321 1
"orf19.6814" "TDH3/G3P/GAP/GAP1/TDH1" 63852.2586206897 64679.2326939954 1
"orf19.6814" "TDH3/G3P/GAP/GAP1/TDH1" 62266.6896551724 63073.1284419551 1
"orf19.4152" "EFT3/CEF3/TEF3/YEF3" 5997.82142857143 4095.37712111683 1
"orf19.4152" "EFT3/CEF3/TEF3/YEF3" 3383.86206896552 2310.53749487124 1
"orf19.4152" "EFT3/CEF3/TEF3/YEF3" 14402.2931034483 6330.84561415004 1
"orf19.4152" "EFT3/CEF3/TEF3/YEF3" 9666.05882352941 4248.92936628307 1
"orf19.4152" "EFT3/CEF3/TEF3/YEF3" 6050.62068965517 6128.98450239791 1
"orf19.4152" "EFT3/CEF3/TEF3/YEF3" 3085.92307692308 3125.89000106888 1
"orf19.6745" "TPI1/TPIS" 16537.5434782609 11292.0129428521 1
"orf19.6745" "TPI1/TPIS" 22512.4285714286 15371.7288869277 1
"orf19.6745" "TPI1/TPIS" 28089.4615384615 12347.3424063303 1
"orf19.6745" "TPI1/TPIS" 63687.3333333333 27995.1721586412 1
"orf19.6745" "TPI1/TPIS" 38297.2586206897 38793.2604950499 1
"orf19.6745" "TPI1/TPIS" 6876.59649122807 6965.65782020334 1
