orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired
orf19.7422	Chr3	LCP5	1	550.252524547443	1448.21305946217	392.561659406388	677.475501154959	1.72578112233223	0.0544885727780538	0.0059474055871185
orf19.1738.1	ChrR	UGP1	1	791.591579108027	2123.34225491702	692.346369207364	1116.20137375144	1.61220080496606	0.094790066925026	0.00695503362778318
orf19.7098	Chr7		1	505.565418213874	1829.74148512306	383.017058592047	1011.41074325520	2.64064150816964	0.00638891993083841	0.00409506403878996
orf19.7088	Chr7	SUA5	1	671.053139590798	1735.69230769231	550.419130205525	876.961776425275	1.59326180414155	0.0264182210778132	0.00133286571869172
orf19.3115	Chr4		1	1125.98457379850	5002.25319349435	1137.87101453484	3109.51380489588	2.73274717887691	0.000574587070113393	0.000602546621692472
orf19.7095	Chr7		1	1281.39215194336	4230.82894257262	1354.81934441964	2600.29754448199	1.91929466846805	0.0103969408505937	0.00704260864634209
orf19.6076	Chr1	VPS29	1	336.778364783999	683.644145454263	127.601691546479	221.139740024526	1.73304708851744	0.0194835281655959	0.00216657857479158
orf19.386	Chr1	SAM4	1	1008.38644577846	2954.85403122345	1011.78883630652	1838.69596426437	1.81727243698046	0.0181864656327175	0.00873826756228084
orf19.2897	Chr4	SOU2	1	417.769566973911	972.920474763292	256.075618992683	425.604360457479	1.66202609265055	0.00581188472361002	0.00014193926258328
orf19.3123.2	Chr4	RPT5	1	3130.69117913571	11441.9908032958	3775.09923025456	6978.8015881053	1.84864056874995	0.0617376979140963	0.00854009160520106
orf19.1639	Chr3		1	750.089355517441	4994.10861315535	674.355489123563	2811.70555038012	4.16947084398231	0.00377649084947424	0.00768742855066578
orf19.3129	Chr4	RVB1	1	703.727704678363	1883.72460716335	592.434359323223	993.11053999152	1.67632164536509	0.21893260805204	0.00568233777294367
orf19.7124	Chr7	RVS161	1	3287.59313131896	9785.36673658785	4461.35111418694	6997.53849200174	1.56847966297694	0.214371188698022	0.00105053974627175
orf19.5363	Chr4	SAT2	1	923.217547819497	2376.62556929083	987.132306028941	1491.02599744721	1.51046216230664	0.212083559050363	0.00303172537072630
orf19.3774	Chr4	HUB1	1	347.868076607301	906.558737416042	162.549895355103	381.117607432441	2.34461921122655	0.128036112475514	0.00590389922198046
orf19.1701	Chr3	RKI1	1	592.619466022483	1707.81259528685	448.772722716149	899.220291829756	2.00373205926448	0.00206748246896718	0.000265565905708228
orf19.24	Chr2	RTA2	1	1149.30441322740	3326.68114500442	1142.82479739900	1958.26596174959	1.71353121336401	0.0329221585169758	0.00122501191943435
orf19.1880	Chr2	HEM15	1	731.9395737354	1819.85621131742	628.639647755132	952.023746373118	1.51441887219934	0.122143657053861	0.00746125015543386
orf19.6225	Chr1	PET117/PCL7	1	326.785797384708	752.915764711388	129.716040343867	296.090681601625	2.28260653668361	0.0148974512301908	0.00452647228216506
orf19.1267.1	Chr4	CAJ1	1	3026.42834249084	9846.30702751574	3539.50647974779	6252.15334053246	1.76639126847367	0.00989733543854102	0.00221696763242418
orf19.7104	Chr7		1	769.80608974359	2523.42285587975	728.742537122041	1495.19955425406	2.05175281816115	0.00196739583733047	0.00125223219622839
