orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired
orf19.4413	Chr4	CMD1	1	8084.30494505495	25387.4951923077	10846.2314094502	16682.0880605062	1.53805385767183	0.26771503849789	0.00447847638829434
orf19.7050	Chr7	NOP15	1	400.551392572944	956.406865832796	402.374030321328	571.287449439981	1.41979205015732	0.0885339566404817	0.00727394854330718
orf19.7108	Chr7	RPE1	1	4371.67097701149	17227.6153200390	5788.51586092618	11457.311987154	1.97931771501111	0.135770263023315	0.0007464058587098
orf19.5305	Chr4	RHD3/PGA29	1	3662.07854987823	14948.2082439357	5463.18346972394	12031.9837618536	2.20237592761306	0.114233784532011	0.00111069161134965
orf19.3130	Chr4		1	2463.51635720601	7279.95182697113	3167.86980840658	4971.7544973381	1.56943144700725	0.214300749538304	0.00601414042067891
orf19.3115	Chr4		1	1125.98457379850	5002.25319349435	1352.20691142025	3269.65935889608	2.41801704404978	1.26610946792001e-05	0.00105470881658509
orf19.7095	Chr7		1	1281.39215194336	4230.82894257262	1570.81385573641	2770.52580404499	1.76375182452548	0.00384663624580437	0.00918899021405517
orf19.1799	Chr4	GAP6	1	1720.07925372671	5988.72390247184	2248.17260218493	4399.91621477476	1.95710783526968	0.265356578369137	0.00378944818433997
orf19.4456	Chr1	GAP4	1	3771.15131398900	9745.90443020128	4698.55648265091	6387.77761469056	1.35951917110648	0.0812892518144456	0.00296205217812489
orf19.2897	Chr4	SOU2	1	417.769566973911	972.920474763292	467.220534713137	633.168080690917	1.35518033487049	0.00408268486883226	0.00291273797922633
orf19.3123.2	Chr4	RPT5	1	3130.69117913571	11441.9908032958	4003.19175169302	7067.0639414833	1.7653573398013	0.0621765495782194	0.00235667357325757
orf19.1639	Chr3		1	750.089355517441	4994.10861315535	887.275705822369	2965.60756146753	3.34237435106923	0.000388137992650378	0.00851115460821335
orf19.1224	Chr2	ADY2	1	2247.67905035577	6502.55458980674	2608.10414019366	3905.78205296074	1.49755601886002	0.196784097342288	0.00801255072694066
orf19.24	Chr2	RTA2	1	1149.30441322740	3326.68114500442	1356.80427186079	2136.93760695816	1.57497853690235	0.0286581103215851	0.00698533083105581
orf19.1365	Chr2		1	1240.20700167797	6234.28802734622	1580.47574513907	3883.11857395932	2.45693019073673	0.000961557285934124	0.00977497604892893
orf19.1267.1	Chr4	CAJ1	1	3026.42834249084	9846.30702751574	3763.33637476189	6356.47377630318	1.68905278277320	0.0073352119111381	0.00166393035883410
orf19.5293	Chr4		1	1142.87938596491	4717.09114740875	1376.67316798080	2847.82519104342	2.06862838419404	0.00772478970461141	0.0064760026080132
orf19.6058	Chr1	GLO1	1	2086.8398793181	6585.6650611941	2550.46875473467	4095.87019497418	1.60592839546481	0.396511523943243	0.00791804210859818
orf19.7296	ChrR		1	1101.82772539771	3011.82455170863	1504.87691002524	2330.04942581119	1.54833223254925	0.344115258446253	0.00470008710089453
orf19.5334	Chr2	TIS11	1	2381.19423018754	7026.99914144889	3052.72987222575	4964.27216737876	1.62617472726445	0.0284698657604472	0.00453554181089763
orf19.7092	Chr7		1	954.978813357443	3556.85019578123	1153.97049998790	2287.35019054536	1.98215655475538	0.00262468262796168	0.00759838435893218
orf19.916	ChrR		1	1584.54960038834	3883.76617452672	1944.40578631548	2550.88614202458	1.31191038412735	0.303944091888287	0.00496877936188801
orf19.6035	Chr1		1	1622.71776783914	4777.67490537794	2156.46384099671	3308.85966783620	1.53439144442452	0.0851177890596187	0.00824413694057164
orf19.2549	ChrR	SHP1	1	1899.22309780862	5303.42204990574	2380.06636988206	3469.99038219456	1.45793849537335	0.404185385700957	0.000383019163791385
orf19.2896	Chr4	SOU1	1	2677.05193834721	11803.9325464388	3381.82023607934	7549.30307022324	2.23231944432842	3.16821950759796e-07	1.49892101077050e-17
orf19.7116	Chr7	LEO1	1	1717.17868641876	5845.76715426386	2156.85788594219	3957.79475994835	1.83498170451756	0.0209936476071554	0.00932978997234878
orf19.3097	Chr4	PDA1	1	11228.2396018229	36265.5959289249	14134.9275230077	23490.8292622519	1.66189951975455	0.000546347529537463	0.00113969702533015
orf19.3251	ChrR	ARC19	1	715.709702943256	1717.48640195759	878.858427612189	1156.13033670072	1.31549098282173	0.255194920416624	0.0045747436412402
orf19.5629	Chr6	QCR7	1	4323.84945980114	13412.2571712806	5653.3134957041	8785.05820029148	1.55396621945115	0.0365990459757013	0.0098512754345342
orf19.6520	Chr7		1	519.800287356322	1851.06705283192	535.694158159285	1091.92503724458	2.03833665275831	0.00946984894821755	0.00895006877421587
orf19.7103	Chr7	GFD2	1	695.214783405	2269.06848852901	874.056086534244	1705.29045999072	1.95100804886840	0.203097842453136	0.0087724145183904
orf19.542.2	ChrR	HXK2	1	5476.83702514465	16814.6615688204	7079.3581477011	11195.7973574634	1.58147068192885	0.211188470844177	0.00345522905038913
orf19.6116	ChrR	GLK4	1	4585.39709746775	13985.5399913909	5905.51703411243	9195.80159571602	1.55715435966025	0.134616952206456	0.00126791116116102
orf19.3822	Chr4	SCS7	1	5103.3858390173	19975.2625257884	6535.77822985904	12310.8928580681	1.88361545099941	0.113585270253832	0.00310668545555011
orf19.6073	Chr1	HMX1/YLR205C	1	836.93263816087	3971.16374587552	956.768078428516	2319.58651306221	2.42439789261376	0.0071827444623032	0.00312822453954997
orf19.6659	Chr5	GAP5	1	2133.85626692148	6294.11906529866	2993.30030533937	4954.28463407167	1.65512448758795	0.359283092456258	0.00749777136991014
orf19.2531	ChrR	CSP37	1	3049.47799932451	9302.6633917353	3938.00274890738	6127.35093367743	1.55595395035656	0.00554467440161882	0.000724706846381647
orf19.3730	ChrR	KRE27	1	1075.11370560021	3073.76554685607	1319.05709155402	2038.89984293879	1.54572524267066	0.190894524680199	0.0080227424402631
orf19.3799	Chr4	RTN2	1	1598.46654489894	6156.83338180775	1886.05296527253	3779.15473302430	2.00373733007981	0.00866054622830902	0.00134953986754783
orf19.4879.2	Chr1	NTF2	1	1969.96770371441	6552.72154787388	2602.23553365705	4124.64156527609	1.58503775385755	0.0651764212381987	0.00436714057558179
orf19.2871	Chr4	SDH3/SDH12	1	1607.1784918101	5354.14018279726	1912.70676150364	3241.00009600297	1.69445738428567	0.0675740028190422	0.00941410682765638
