"","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","fold.mut.by.wt","p","p.paired","chr.combimatrix","start","end","strand","chr2","loc","sd.wt","sd.mut","sd.mut.vs.wt.ratio"
"1441","orf19.5230","Chr1","MRPS9","1",937.215233271643,1644.63505553229,1054.85642961529,988.573754604782,0.93716426885251,0.619400418405447,0.229225047781699,"Chr1",2690418,2689408,"C","1",2689913,269.936558383432,387.755911298961,0.168014386042058
"1512","orf19.5357","Chr2","AKL1","1",1052.39231632497,1916.46901113859,1217.43698855258,1232.98285698813,1.01276934131436,0.97821415196804,0.93864044262613,"Chr4",2211103,2208899,"C","2",2210001,417.956448816321,469.701559613208,0.185580825831830
"1515","orf19.4772","Chr1","SHO1","1",1166.87851018582,2097.47417823405,1359.09574792927,1361.39816300664,1.0016940786408,0.96989025293731,0.873094350408081,"Chr1",2000774,1999611,"C","1",2000192.5,635.069975242445,716.131825437208,0.158893654100026
"1517","orf19.4197","Chr6","YHM2","1",1240.02540668648,2455.41778961107,1427.04351728746,1500.13237029185,1.05121697559954,0.874705023696451,0.641660527513016,"Chr6",110651,109746,"C","6",110198.5,525.503970634899,638.542183121667,0.173843223591202
"1573","orf19.5723","Chr6","POX2/POX1","1",1096.53215792576,1965.25993116079,1301.55418939379,1216.98372191988,0.935023475654671,0.515855206072075,0.240099222580259,"Chr6",756983,758974,"W","6",757978.5,256.469722557924,147.654686538428,0.0998023513949669
"1638","orf19.6154",NA,"","1",1087.76340608373,2091.43042564413,1263.85530346315,1345.41103381403,1.06452932557026,0.398082624043688,0.299047980413543,"ChrR",NA,NA,NA,NA,NA,72.4857808491527,125.202360259610,0.0788067283241096
"1742","orf19.2527","ChrR","","1",784.840257972518,1494.60521662246,927.348955539183,965.967307293935,1.04164381867697,0.728227917421674,0.211671946084783,"ChrR",334491,333205,"C","R",333848,286.570289773064,235.412937726919,0.103961374313333
"1980","orf19.2582","ChrR","","1",1235.67268524982,2209.86326891499,1451.38003719790,1397.98797807088,0.963212902369732,0.790136304939686,0.337591839119555,"ChrR",410672,413728,"W","R",412200,636.621150573999,817.439603336643,0.19635325579
"2000","orf19.4815","Chr1","YTM1","1",1061.79007864489,2140.56673929519,1230.16285439711,1306.79770850152,1.06229651125498,0.711977668409215,0.406339981330314,"Chr1",2093333,2094733,"W","1",2094033,312.119836301279,325.184191774147,0.173792995680215
"3562","orf19.6363",NA,"MRPL15","1",799.805665425461,1497.00251728531,923.184441062902,907.238412771804,0.9827271479221,0.915111488236613,0.839235649992129,"Chr1",NA,NA,NA,NA,NA,232.424090712150,255.858078497360,0.190176494688849
"4399","orf19.4066","Chr2","","1",1095.44173245457,2092.75131462609,1245.55149699147,1232.89421168222,0.98983800722826,0.913911447810679,0.467888520667987,"Chr2",1856790,1854379,"C","2",1855584.5,930.7827407002,918.398441662148,0.171897404889666
"5260","orf19.99","Chr6","MET222","1",1001.82432341522,1789.92137408017,1169.38134970428,1065.04388009281,0.910775497114045,0.751861253001501,0.302017634310029,"Chr6",194057,193029,"C","6",193543,476.03628511174,411.155604949048,0.178914991372499
"5300","orf19.6236","Chr1","","1",931.672619047619,1779.36803713528,1114.76669050160,1124.05733479005,1.00833416029346,0.921910974353834,0.730236889442157,"Chr1",1442148,1441519,"C","1",1441833.5,216.137546416503,154.134203442462,0.0680102974974419
"5392","orf19.1542","Chr2","HEX3","1",774.42589228087,1473.22284530812,931.334033369164,975.46215631469,1.04738162824984,0.833331869771406,0.435792147524327,"Chr2",450621,448813,"C","2",449717,384.236812165186,419.849671881802,0.153452725277085
"5441","orf19.3260","ChrR","","1",1126.20539661488,2325.25031200059,1343.60190843578,1437.97945423115,1.07024219391386,0.829327873571863,0.516765579931145,"Chr2",218980,216785,"C","R",217882.5,426.466365439773,488.0619912061,0.17272916419138
"5478","orf19.3226","ChrR","NPC2","1",1093.56617339104,2099.60516225283,1275.63775560975,1304.16190315813,1.02236069559947,0.873097863183077,0.627436826303536,"Chr2",306355,305777,"C","R",306066,386.243236671234,365.875147997548,0.150202316643207
"5489","orf19.874","Chr2","","1",965.69799166351,1918.32496277165,1207.55479128415,1306.15193787518,1.08165024668254,0.768076393915729,0.184908535767622,"Chr2",723179,722073,"C","2",722626,452.240669936374,549.123141466193,0.113691180186035
"5537","orf19.5825.1","Chr2","NCB2","1",1026.83213338386,2147.86887909067,1239.01991840555,1306.43113328233,1.05440688553540,0.656160689028277,0.425599613310964,"Chr2",560350,560640,"W","2",560495,268.785344882629,257.905884156020,0.190693154308105
"5561","orf19.316","Chr3","SEC13","1",1134.87862200816,2132.06063816704,1307.30098734564,1188.72732773427,0.909298883149985,0.595348263977451,0.191681516980049,"Chr3",674683,675579,"W","3",675131,501.458191164117,576.700360868455,0.180411076222485
"5621","orf19.6043","Chr1","DLD4","1",949.179043153862,1624.16348243541,1105.40334577086,1038.97967711708,0.939910016639703,0.885233953378992,0.181386362021259,"Chr1",105180,106925,"W","1",106052.5,663.675350477191,642.764173770619,0.0886299265606775
"5627","orf19.5521","Chr6","ISA1","1",1116.80541195723,1947.17117880355,1439.40139438520,1342.4521535168,0.932646139397545,0.881152839260322,0.0204700560659626,"Chr6",520912,521721,"W","6",521316.5,859.851324169036,774.409310550672,0.0390094702895024
"5784","orf19.6196","Chr1","","1",827.785143949618,1354.30888676541,989.009716987419,892.636443164341,0.90255578669476,0.649422455461001,0.136822874518692,"Chr1",1513369,1513935,"W","1",1513652,247.573866274650,217.102694836562,0.0639754527465327
"5802","orf19.6829","Chr3","AEP2","1",874.34403579129,1493.40920409999,986.902058519983,897.060837052656,0.908966426109134,0.805542414830183,0.159533429147191,"Chr3",1539496,1541460,"W","3",1540478,609.240624826873,579.455971003675,0.155182755042033
"5810","orf19.7624","ChrR","BFR2","1",906.268177904975,1623.43307150406,1000.62896330074,914.75893915571,0.914183951000405,0.746209380618805,0.179941847964620,"ChrR",2229089,2227494,"C","R",2228291.5,547.521833530475,549.60619604827,0.162626242504591
"5930","orf19.5052","Chr1","","1",823.075757258252,1360.11205345371,939.244360220724,857.489632997297,0.912956914424044,0.710447749065628,0.177044112867917,"Chr1",1705233,1706393,"W","1",1705813,357.562258869845,312.836536557605,0.135873743033744
"6003","orf19.6941","Chr3","DGA1","1",1243.56083428066,2576.6385841274,1469.46000304891,1586.64818437312,1.07974914668046,0.607097148231442,0.396364020970366,"Chr3",791740,793473,"W","3",792606.5,306.228295515925,402.992787111804,0.190866033559761
"6005","orf19.458","ChrR","BCS1","1",967.567528735632,1703.72563288194,1080.91049485983,982.55832778319,0.909009887919173,0.84354636511138,0.452250039698200,"Chr1",1251285,1249951,"C","R",1250618,658.753556469639,568.562892361042,0.194316149645921
"6014","orf19.4117","Chr2","","1",844.428928754246,1510.03645022968,951.417162398697,918.019785655054,0.964897231137347,0.685224936703821,0.463830593521172,"Chr2",1234899,1236332,"W","2",1235615.5,141.258505876518,150.854469845986,0.113854755359362
