orf,chr,gene,geneflag,WtMean,MutMean,WtMean2,MutMean2,fold.mut.by.wt,p,p.paired,sd.ratio
QC-3prime,NA,NA,0,892.25,1367.99,1149.02,988.24,0.86,0.13,0.01,0.42
QC-5prime,NA,NA,0,425.26,635.15,450.95,407.2,0.9,0.15,0.2,0.76
orf19.6002,Chr3,RPL8B/RPL81,1,14542.9,34636.75,18987.95,22448.66,1.18,0.22,0.35,0.76
orf19.6350,Chr1,,1,327.94,602.4,328.67,400.81,1.22,0.51,0.56,1.8
orf19.1655,Chr3,PMP3/PXP2/POX1,1,7974.38,15004.17,11107.05,11770.76,1.06,0.94,0.78,0.49
orf19.6918,Chr7,,1,649.74,1132.39,811.84,825.59,1.02,0.85,0.73,1.85
orf19.3780,Chr4,,1,257.59,369.65,230.37,231.35,0.99,0.46,0.47,5.66
orf19.4163,Chr4,,1,529.09,670.52,552.37,402.68,0.73,0.26,0.11,0.3
orf19.3781,Chr4,,1,409.43,512.86,445.6,323.75,0.73,0.86,0.84,7.24
orf19.5095,Chr1,OSH1,1,1073.77,1692.07,1246.67,1035.96,0.83,0.56,0.1,0.2
orf19.1536,Chr2,196623..197660),1,3731.48,6556.97,4649.19,4148.84,0.89,0.46,0.31,0.31
orf19.5268,Chr1,NUT2,1,252.19,402.98,228.43,257.53,1.13,0.3,0.34,6.29
orf19.187,Chr2,,1,974.47,1378.09,1181.69,879.12,0.74,0.84,0.63,0.83
orf19.3295,Chr1,,1,476.91,607.28,500,398.53,0.8,0.66,0.62,0.57
orf19.2444,Chr1,CHS7,1,1121.66,3075.64,1318.68,1910.91,1.45,0.03,0.03,0.44
orf19.4993,Chr1,SEC18,1,1626.45,3478.29,1885.93,2088.26,1.11,0.82,0.49,0.4
orf19.5662,Chr4,PEP7,1,415.22,885.92,444.63,552.88,1.24,0.34,0.29,3.01
orf19.3674,Chr1,GAL102,1,1258.67,2487,1779.68,2045.67,1.15,0.8,0.3,0.35
orf19.5464,Chr3,,1,200.17,222.26,172.37,151,0.79,0.58,0.6,2.12
orf19.1985,ChrR,,1,1599.44,1923.21,1977.53,1207.09,0.61,0.09,0.19,0.32
orf19.1317,Chr4,OSH3,1,577.95,1015.5,632.03,652.37,1.03,0.85,0.79,0.51
orf19.3068,Chr3,PAK4,1,280.31,332.68,258.65,209.25,0.81,0.97,0.97,1.42
orf19.7557,ChrR,FGR46,1,188.37,262.64,151.8,171.85,1,0.29,0.33,2.97
