orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired	w1	w2	w3	m1	m2	m3
orf19.6002	Chr3	RPL8B/RPL81	1	14542.8984145266	34636.7505566428	19018.4121156337	22447.0095963212	1.18027779921064	0.220795291709767	0.353278051267738	19218.3731527094	10641.0955837871	24598.7330060831	21453.8923608519	30294.0692471007	19953.2826341220
orf19.6350	Chr1		1	327.943191865606	602.396770912789	329.246620818375	400.819650072508	1.21738424854971	0.515218045364483	0.560427944387734	107.396551724138	514.507138478708	365.836172252277	429.987067048159	321.653763029814	450.818120139551
orf19.1655	Chr3	PMP3/PXP2/POX1	1	7974.38140056153	15004.1735149632	11133.3303828419	11777.9256828700	1.05789779678339	0.93878536070953	0.78247376116064	12513.1896551724	1582.95523290986	13032.5673898768	12131.3019595717	2407.20420796358	8714.39493681866
orf19.6918	Chr7		1	649.737198876945	1132.38616355273	813.857280258422	825.876882091606	1.01476868503206	0.851403936219009	0.737912951693322	53.5689655172414	632.758620689655	421.938488801647	283.377966626989	1295.18981945412	191.804627123420
orf19.3780	Chr4		1	257.593980253463	369.645767956103	230.743637727469	231.296169041100	0.98871850341557	0.460756693852549	0.469822030839926	145.275862068966	-18.1500302480339	481.652917108632	397.31986417035	229.792942695067	249.174254440071
orf19.4163	Chr4		1	529.086961327029	670.516199221577	552.961298837402	402.528730068363	0.727950999309856	0.253807980824155	0.113349596470043	367.186339522546	563.586206896552	775.38470389209	436.814378871781	626.996684878978	345.374573898197
orf19.3781	Chr4		1	409.431823923203	512.85846362533	446.543439884683	323.693059678759	0.724885936656804	0.866665577817554	0.843047417396948	11.3017241379310	454.569581280788	339.476901118586	208.129116744894	548.068342254897	172.487750216419
orf19.5095	Chr1	OSH1	1	1073.77048597954	1692.07448089985	1248.37891914562	1035.65639919723	0.82960099959556	0.559348068791587	0.0998971610871045	1505.78386699507	986.258620689655	1815.98573678307	1754.78240047533	858.600339390694	1190.65135747981
orf19.1536	Chr2	196623..197660)	1	3731.47808264029	6556.96886998471	4655.57211897459	4148.12119266611	0.891001382141567	0.454163326038999	0.305277671510057	3871.94458128079	4730.44646098004	4459.67213606738	3325.12348783729	7173.03276889748	2989.32351246362
orf19.5268	Chr1	NUT2	1	252.189994631805	402.984353599972	228.823998098855	257.500790307581	1.12532248560895	0.305300380386245	0.345440564157147	22.5338669950739	24.6478779840849	406.088207957458	299.377623465825	309.159060597745	212.915318262098
orf19.187	Chr2		1	974.468169761273	1378.09256969019	1183.76209464409	879.0004865425	0.742548262458753	0.841837024067725	0.626610961519587	1546.94827586207	124.137931034483	2210.03575675760	1751.75463610138	333.750512608599	1296.65042927264
orf19.3295	Chr1		1	476.913272072755	607.277401279117	500.641932095889	398.515569543811	0.796009171416114	0.654240116924742	0.612844300374704	549.896551724138	153.980295566502	942.14906476221	591.631095463522	304.025447284213	382.584858977911
orf19.2444	Chr1	CHS7	1	1121.66055787896	3075.63711607422	1320.54279133430	1910.44304157739	1.44671043915740	0.0267548999562805	0.0349726285807281	1113.79310344828	1361.55172413793	1709.02660951723	2238.11155164109	2725.76893189924	1838.66224281226
orf19.4993	Chr1	SEC18	1	1626.45402298851	3478.28576248313	1888.14026642073	2087.5841881768	1.10562982279603	0.824704383401599	0.49154413947496	713.120689655172	3895.62068965517	1028.22210884015	1185.77276930499	2489.48942343345	857.938022241652
orf19.5662	Chr4	PEP7	1	415.223006676727	885.923569423116	445.44848171641	552.766530992289	1.24092134933845	0.344075787509687	0.293705174206688	53.4555702917772	401.158866995074	440.663405914173	452.020560507035	707.388281602127	376.120109971093
orf19.3674	Chr1	GAL102	1	1258.66966044643	2487.00230766838	1784.98208660041	2047.23626706678	1.14692258394920	0.800507711213645	0.311071194550931	788.705570291777	398.931034482759	1250.53250246569	1164.21421927733	655.001792801643	939.078122392452
orf19.5464	Chr3		1	200.172104110852	222.262820512821	172.813534551158	151.015487255400	0.790761064663522	0.583330573823587	0.59587551003679	-53.4839901477832	278.478226464284	293.446367336975	169.251685996752	107.596716824967	176.198058944480
orf19.1985	ChrR		1	1599.43637110016	1923.20940170940	1980.7512748194	1206.83189204748	0.609279876473897	0.0858461692940926	0.190242156994605	1645.51600985222	2163.36096914075	2133.37684546523	1646.09113956689	1092.28939354887	882.11514302667
orf19.1317	Chr4	OSH3	1	577.946079278656	1015.50485545014	632.924087493578	652.296478248152	1.03060776345436	0.85544895514087	0.796580339344505	678.766009852217	299.095583787054	1063.72611526624	1009.68064203881	590.107318621728	708.024683228395
orf19.3068	NA	PAK4	1	280.312299315929	332.679208472687	259.051147465484	209.208722062281	0.807596199087117	0.967110972147273	0.972145451935551	85.8148820326679	447.094150586663	244.244409777121	259.240907610416	197.363084930481	171.022173645946
orf19.7557	ChrR	FGR46	1	188.373109497883	262.641215106732	152.151891667028	171.834244397286	1.00183499998928	0.286245243265115	0.332389201181848	-34.8275862068965	-79.3781004234725	320.570373411490	222.373423762857	280.649600859993	130.029227086223
orf19.4424	Chr1	PHO3	1	277.421213566631	380.236263736264	279.051695723661	262.102070228912	0.926174626813325	0.454956245387517	0.459582230482742	-22.6551724137931	77.1206896551724	314.22956922393	248.225302571918	331.173389958693	137.194464562449
orf19.4569	Chr4		1	432.06399204244	739.142835542345	462.287408217719	469.786544485301	1.01622180516768	0.81424031493711	0.793001746592234	150.465517241379	421.5324933687	460.697648932315	413.748225957308	726.294222892925	317.088948231166
orf19.2198	Chr2		1	446.488657746026	669.253036437247	477.780618914587	447.375094875725	0.936360909515464	0.783916863673573	0.835711827925282	307.340185676393	295.436339522546	602.668704394203	471.110774721547	587.175075723121	294.795930558953
orf19.5987	Chr3		1	901.633502273589	2060.11163463477	1041.55292779193	1271.28384037733	1.22056575950722	0.304576912905265	0.153009698040554	965.378647214854	852.362068965517	1443.11756582190	1905.24014105661	1073.73920816852	1262.27178225164
orf19.1508	Chr2		1	271.797619047619	398.070970695971	258.235528511457	260.387110763983	1.00833185993007	0.665288853311975	0.725678219113456	34.2660098522168	436.233837031375	304.206738650779	376.158622589943	188.718345354387	216.284364347618
orf19.2500	Chr3		1	586.122221169635	1104.85537160208	656.997309678217	696.750981747397	1.06050812002358	0.818782557323524	0.714901893626774	504.587438423645	409.172413793103	945.800302525423	1063.87899436171	566.127883058761	702.31142735167
orf19.7424	Chr3	NSA2	1	430.970159151194	913.097968069666	461.204251870774	571.911222233801	1.24003891966296	0.476288444171523	0.531527021781634	182.517241379310	773.528816578055	427.566697654958	677.886416856591	559.422607784446	478.424642060364
orf19.397	Chr1	MRPL28	1	1388.27968960864	2683.90309383095	1609.59764214880	1541.49751764935	0.957691212563822	0.659817716078148	0.438890180369184	1665.31034482759	1770.72480106101	2419.75102324354	2949.85823840822	1150.11457651931	2061.11558445969
orf19.2677	Chr4	GPI16	1	728.705625552608	1246.82327586207	816.848057879455	792.54810957142	0.970251568729785	0.867085165366528	0.840251121104477	949.586206896552	458.241379310345	1326.10672455277	1378.48677497254	909.6211354853	776.968306874271
orf19.1237	Chr4	ARO9	1	921.995247568523	2857.68345944991	1061.88106747973	1741.60764098273	1.64011554054380	0.0158474125743608	0.0353014974112576	619.448275862069	1502.51724137931	1041.15278317354	2246.59260279189	1635.33282559813	1494.09970714496
orf19.4413	Chr4	CMD1	1	8084.30494505495	25387.4951923077	10846.2314094502	16682.0880605062	1.53805385767183	0.26771503849789	0.00447847638829434	13133.4363395225	3554.72480106101	13718.9949004867	26590.0818999901	7691.75453605906	19608.520535512
orf19.6233	Chr1		1	1226.26929724843	2588.91862896511	1424.37222971652	1581.68506467955	1.11044362679995	0.725151013880694	0.350948693733672	424.391009852217	2745.34018567639	853.523367710667	1059.08674663936	2064.22553824386	875.872214982498
orf19.5537	Chr6	WSC2	1	735.001327506432	993.573155645524	834.06205678555	629.600182625113	0.754860118024759	0.0789655153174208	0.0178244112549989	615.391009852217	773.224137931035	928.614205207689	533.580677907689	617.018306059838	541.182200147789
orf19.2748	Chr4	ARG83	1	260.800836225178	340.119117145206	242.659210262456	213.88156142803	0.881407143774595	0.652217688233919	0.669083813937822	53.3017241379310	34.0517241379310	372.365441884227	190.363834866722	270.702913806612	221.401144402072
orf19.2179	Chr2	RPS10/SIT1/ARN1/YHL040C	1	16038.2759558624	35577.6951870725	20559.8203953955	21024.9517502868	1.02262331800308	0.837114188061349	0.81620733840609	15437.7302955665	19390.224801061	23989.7379717292	26266.8874618165	31913.2214802929	20678.1785695047
orf19.4752	Chr1	MSN4	1	739.416224303021	1153.12306005398	885.973937941383	808.932249931572	0.91304294098219	0.747252836009035	0.559334450532935	335.931034482759	786.337438423645	730.339617228044	508.634730859839	1274.79041192837	368.965977258175
orf19.5364	Chr2	ECM2	1	1343.21172363380	2865.23686974389	1672.29889863811	1899.1496172003	1.13565201696116	0.403055001128078	0.312874853613433	1767.62068965517	805.172413793103	2129.56425402508	2531.77729533207	1745.97996332481	1726.48464696577
orf19.2190	Chr2	VRP1	1	824.915474750094	1244.57097893361	967.248588960866	786.323528629468	0.812948747202858	0.512113516079988	0.283618590964665	382.362068965517	1223.98275862069	774.954831463021	629.268079004914	958.777780615378	442.416527196591
orf19.2356	ChrR	CRZ2	1	12238.0768300060	12069.1845731149	14775.2571608491	7013.75834622735	0.474696194446764	0.0464741152711252	0.0094047796736454	21127.9310344828	14006.9310344828	24684.3625379722	16814.9337726154	4978.44046810332	8466.43133133278
orf19.223	Chr2	KIN82	1	3429.8225976418	4977.4487858129	4242.35349730831	3113.87923083017	0.733998058579009	0.24197676022906	0.0261095671051837	3031.01326259947	5009.76225045372	3461.27119994652	2480.24422050954	5008.56847159236	1908.17948225756
orf19.5604	Chr6	MDR1/BEN/BENR/BMR1	1	355.406675397601	734.582969058656	352.063537468536	425.795330327344	1.19459939824755	0.457854741673433	0.449517295575193	424.897877984085	-25.2202056866304	740.47527871835	869.93082078759	344.516658176618	771.046654824922
orf19.6349	Chr1	RSV162	1	281.574703779785	438.626644252098	272.655997771462	290.34118869167	1.05149006750641	0.426078356234801	0.406414405611802	-19.8054187192118	153.282493368700	343.514270012276	212.447562726976	415.016714695927	184.660072587957
orf19.6704	Chr7		1	525.761278195489	755.84659205485	589.490239782897	505.354513494302	0.857273758562006	0.71483071554526	0.785471105577408	338.230295566502	760.449166937393	669.791256844794	598.92592972724	376.018538402711	541.119072352954
