"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","sd.wt","sd.mut","fold.mut.by.wt","sd.ratio","p","p.paired"
"2688","orf19.362","CTA2",5423.481543,11233.08783,6893.948002,NA,6682.278759,NA,0.969296368,NA,0.953550205,0.812151682,1.067506616,0.077069092,0.997917583,0.052123733,"Ca21chr4","W",983,1660,"orf19.362","Chr4","CTA2",1,5423.4815428824,11233.0878281579,6656.20800266654,6572.57546701302,6438.19918288386,6611.66436773078,0.987435408325579,0.510159487859586,0.941814762996685,0.697789584949299
"5149","orf19.364","VMA6",2923.699273,5216.145485,3664.728413,NA,3465.836225,NA,0.945727987,NA,0.5731807,0.588467518,1.060600724,0.108314621,1.048278996,0.058748159,"Ca21chr4","W",2845,3891,"orf19.364","Chr4","VMA6",1,2923.69927346549,5216.14548494983,3441.12353313712,3297.09286245769,527.502558161715,758.351645404027,0.958144289418136,0.313714304891804,0.62937531132394,0.661741462394419
"1178","orf19.366","RAD17",575.611265,1307.150179,647.2048868,NA,833.744789,NA,1.288223878,NA,0.139648068,0.204023965,1.139040766,0.107976062,1.125908508,0.109138338,"Ca21chr4","C",4904,3894,"orf19.366","Chr4","RAD17",1,575.611264974602,1307.15017913373,436.416766757728,628.53479046822,113.220893540468,195.92265720493,1.44021687145018,0.347357559000285,0.0698527787296998,0.0198727050882979
"1459","orf19.367","CNH1",765.9500442,1195.727126,897.1318835,NA,783.0349016,NA,0.87282028,NA,0.633965668,0.581663693,1.144853828,0.196330728,1.120650004,0.183528327,"Ca21chr4","W",5033,7435,"orf19.367","Chr4","CNH1(NHA1)/CNH1",1,765.950044208665,1195.72712630936,685.126866908574,576.495771446751,337.376972536026,224.183371261345,0.841443824919628,0.407513349264466,0.633849468183473,0.424001862973948
"4923","orf19.371","",1441.159372,2411.833132,1847.489674,NA,1606.513172,NA,0.86956544,NA,0.685074137,0.511873255,1.175573166,0.321135247,1.146691028,0.219456265,"Ca21chr4","W",7507,8355,"orf19.371","Chr4","",1,1441.15937223696,2411.83313167977,1629.98895189515,1410.94018220765,485.005536169804,359.804883677334,0.865613340855584,0.0796883736125935,0.577774353058473,0.119977379271485
"5821","orf19.372","",443.6378697,799.8037135,479.5547775,NA,503.3747616,NA,1.049671039,NA,0.70903212,0.717488025,1.14543534,0.191488555,1.104265827,0.17949946,"Ca21chr4","W",8369,8995,"orf19.372","Chr4","",1,443.63786966166,799.803713527851,269.500331729987,292.628371032216,66.2060815619272,59.8164783508902,1.08581822201763,0.116003725391121,0.645836075698963,0.277369233771839
"5199","orf19.374","",3224.411102,6383.43776,4054.410138,NA,4060.647406,NA,1.001538391,NA,0.934986857,0.871342906,1.134512266,0.158965302,1.115079705,0.157793682,"Ca21chr4","C",11315,8937,"orf19.374","Chr4","",1,3224.41110180402,6383.43776037083,3828.80089581227,3902.61829812839,1526.8854114477,1321.21624516063,1.01927950925755,0.359152221292635,0.878414649044597,0.800014066869245
"3288","orf19.376","BDE99",1239.535714,2280.198695,1519.393158,NA,1410.479268,NA,0.928317507,NA,0.695038414,0.680341469,1.143756025,0.225030269,1.120929741,0.183768668,"Ca21chr4","C",12630,11383,"orf19.376","Chr4","BDE99",1,1239.53571428571,2280.19869515921,1304.5257536653,1216.15612124645,478.114549900537,564.114466622961,0.932259189080353,0.375037359122008,0.695946779107505,0.60245362296442
"2169","orf19.377","PHR3",220.9365618,315.0362305,189.6725688,NA,201.1578254,NA,1.034260201,NA,0.337909279,0.363584554,1.113032464,0.213463774,1.077794629,0.160154321,"Ca21chr4","W",12792,14307,"orf19.377","Chr4","PHR3(GAS1)",1,220.936561830421,315.036230535205,10.8698297687721,16.2208632826135,18.1801261025532,27.0348793326235,1,12.3057548346895,0.921558011723117,0.900185445801922
"1109","orf19.5633","",491.841804,734.8852943,528.3109416,NA,494.7177944,NA,0.936414061,NA,0.785124757,0.765920049,1.139874476,0.229026648,1.127076958,0.236262883,"Ca21chr4","C",15704,14304,"orf19.5633","Chr4","",1,491.841804029304,734.885294303398,318.255682352733,283.384305960295,150.123497059798,172.312549892452,0.890429681774577,0.620705188664042,0.815083326974337,0.699267335049978
"4495","orf19.5634","FRP1",238.4066487,374.81145,208.4791206,NA,238.4355409,NA,1.138399355,NA,0.343891393,0.382676646,1.092110145,0.120387632,1.071215776,0.102470143,"Ca21chr4","C",17454,15790,"orf19.5634","Chr4","FRP1/FRE5",1,238.406648667425,374.811450044209,29.6523236536954,33.322420359035,49.7235247002184,38.910525942429,1,20.5260882475031,0.655845387019323,0.404036334943866
"2507","orf19.5635","PGA7",391.6462847,576.9219007,410.5437545,NA,383.0000832,NA,0.932909292,NA,0.961106695,0.954555025,1.065770904,0.141046422,1.033552878,0.074545659,"Ca21chr4","W",17801,18460,"orf19.5635","Chr4","RBT6/PGA7",1,391.64628469937,576.921900656814,200.801000812578,170.00597936101,117.854399236594,143.658858353093,0.846639103754711,0.404413889651513,0.477102316613732,0.206868225750524
