orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired
orf19.2356	ChrR	CRZ2	1	12238.0768300060	12069.1845731149	14775.2571608491	7013.75834622735	0.474696194446764	0.0464741152711252	0.0094047796736454
orf19.2941	Chr1	SCW4	1	743.423055594335	538.651860557575	787.706725758928	345.197388011383	0.438230850039775	0.0316813345546711	0.00964757112718384
orf19.3197	Chr5	PAPa(PAP1)/PAP1	1	1039.56976319533	659.325465243569	1191.59466016444	438.522179025234	0.368012876933098	0.000327219190403196	0.00217611867700422
orf19.2397.3	ChrR	TNA1	1	9950.7665699033	5459.05381089217	11876.2759113561	3345.92244593892	0.281731619483473	0.0125472756665968	0.000592157022063397
orf19.3895	Chr5	CHT2	1	3109.56530459105	1300.19919950739	3695.57560796269	915.59462044526	0.247754265525638	0.00052161013690365	0.00589228850642026
orf19.2591	ChrR	BIO3	1	1782.52232343680	1561.3536103189	2035.69019931593	995.433318511805	0.488990573735782	0.0692240565247964	0.00938872499552591
orf19.3199	Chr5	PIKa/PIKA	1	940.558971201213	449.682095907779	1080.91909667294	281.99007649107	0.260879909846197	0.0077477333629485	0.00132748545214348
orf19.2593	ChrR	BIO2	1	3299.18680986285	2702.13256006949	3837.24655664852	1572.60815789917	0.409827238016391	0.0267845114930004	0.000445772711969842
orf19.1325	Chr4	ECM37/ECM38	1	4906.24029653045	4495.50346813652	5765.13361162504	2657.06243610488	0.460884797317980	0.0844623876940839	0.000726397906694994
orf19.7447	Chr3	JEN1	1	8640.32209308638	9136.84393053256	10159.0253823774	5014.77366960961	0.493627437756837	0.197643489864033	0.00210142922524924
orf19.5663	Chr4		1	4326.41085167605	2929.97283743178	4877.23686326436	1649.10662707527	0.338123136790104	0.124510354936231	0.00363965125238124
orf19.3198	Chr5	OBPa/OBPA	1	1446.90454418540	281.994402867248	1690.28416364727	180.995173614623	0.107079731034144	3.05737159475909e-05	0.000156199648460282
orf19.6329	Chr6		1	1385.65872018685	1038.30558450171	1602.31442685915	647.788272359581	0.404282868269103	0.0407147424079754	0.000886082298384114
orf19.6249	Chr1	HAK1	1	4674.40229414163	3271.40514358206	5551.99496029005	1940.10199156708	0.349442318561781	0.0205485429817732	0.00342820244331949
orf19.2590	ChrR	BIO4	1	796.114966211949	569.071563053301	859.852271660545	328.180585530002	0.381670894345862	0.0482729314217333	0.00202949299174103
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
