"","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","fold.mut.by.wt","p","p.paired","chr.combimatrix","start","end","strand","chr2","loc"
"65","orf19.3930","Chr5","YUH2","1",775.137133699634,1255.30110717643,918.887989387598,862.713669150317,0.938867064445234,0.794320629981538,0.761219828634799,"Chr5",976782,975772,"C","5",976277
"73","orf19.922","Chr5","ERG11(ERG16)/ERG11/CYP51/ERG16/L1A1/P45014DM","1",1702.62019951563,1965.27474507999,2004.01386237775,1300.04303615343,0.648719582513735,0.0161138767406777,0.0778533055891984,"Chr5",149706,148120,"C","5",148913
"77","orf19.4280","Chr5","","1",349.749557913351,368.363682193991,379.346716792356,264.160768790795,0.696357071505616,0.748926331191966,0.646362143414154,"Chr5",594548,595198,"W","5",594873
"83","orf19.3170","Chr5","BUD27","1",548.654667171908,739.456660966076,603.218372285525,486.520166818953,0.80654069765081,0.373212527705368,0.474500161361253,"Chr5",453571,451385,"C","5",452478
"109","orf19.1283","Chr5","MEC1","1",662.47100385247,857.663637563809,747.855323000012,535.372743954674,0.715877426407868,0.0798210377040999,0.129483881863203,"Chr5",909155,902178,"C","5",905666.5
"117","orf19.971","Chr5","SKN7","1",726.003269921902,960.631608327078,854.366876821711,712.483814669383,0.833931925497697,0.631869352381309,0.465909648803313,"Chr5",40891,42570,"W","5",41730.5
"128","orf19.1280","Chr5","SUI1","1",5899.29961916815,10442.4930077977,8481.50494164107,8466.13821276825,0.998188207284138,0.78231272960277,0.289132987608125,"Chr5",912420,912091,"C","5",912255.5
"130","orf19.1111","Chr5","TAF9","1",669.543079337524,932.473881016644,792.157280363333,674.632932974483,0.85164013472811,0.482098487126178,0.381150465346225,"Chr5",843960,843262,"C","5",843611
"143","orf19.3216","Chr5","","1",1219.41052786697,1254.90263041556,1392.60103622627,755.793126789575,0.54272049720547,0.261367186769635,0.0212885883033301,"Chr5",868724,871228,"W","5",869976
"173","orf19.3171","Chr5","ACH1","1",3227.38460583607,6400.57998037924,3847.84502895196,3889.64501886727,1.01086322073805,0.902831071792153,0.815955514762523,"Chr5",448572,446998,"C","5",447785
"182","orf19.972","Chr5","","1",275.496070389677,470.479840461011,257.056026250287,318.338097077459,1.23839966610043,0.345781193333848,0.425226662845485,"Chr5",40126,39266,"C","5",39696
"190","orf19.1964","Chr5","","1",485.453933795585,649.045434098066,548.023742613876,441.939683866162,0.80642433803738,0.745910312268488,0.639172548355841,"Chr5",227465,225963,"C","5",226714
"211","orf19.6294","Chr5","MYO1","1",531.639366015614,521.418429888825,558.8082372119,318.608318016795,0.570156802996409,0.0198145945994791,0.00744545000404417,"Chr5",368539,362693,"C","5",365616
"229","orf19.4347","Chr5","PRR1","1",1072.0887639911,1279.69484808878,1292.33498169624,995.917678407694,0.770634311160186,0.265154970188537,0.277199777122723,"Chr5",710003,711922,"W","5",710962.5
"232","orf19.1117","Chr5","FDH3","1",706.139915878045,1584.84466665115,890.974588583223,1264.03816867586,1.41871405186299,0.544936834051732,0.275055454341417,"Chr5",835101,833962,"C","5",834531.5
"233","orf19.4337","Chr5","ESBP6","1",664.720306623163,671.065398347682,759.19721444156,446.972779079615,0.588743966096338,0.500068903278166,0.268518032098031,"Chr5",686088,684072,"C","5",685080
"240","orf19.3969","Chr5","HSR1","1",495.189736609428,478.783916577474,541.065073063364,320.042500660914,0.591504638894764,0.0529695350807632,0.0645329501399314,"Chr5",1053882,1056026,"W","5",1054954
"251","orf19.1946","Chr5","@","1",1461.15956807359,1444.38358570661,1672.69096816414,907.414055757856,0.542487568252841,0.616142985272219,0.269763612998136,"Chr5",275380,274481,"C","5",274930.5
"279","orf19.3995","Chr5","RIM13","1",497.922184081413,662.731448531757,554.283832695466,467.646426607179,0.843694870790347,0.447932948439529,0.329763913963021,"Chr5",1104685,1102532,"C","5",1103608.5
"291","orf19.5684","Chr5","MRPL14","1",1530.38814612238,2292.62324370276,1959.68984942758,1552.40206456170,0.792167222285279,0.274264790601403,0.068813787111725,"Chr5",15475,15077,"C","5",15276
"294","orf19.4229","Chr5","DDP1","1",842.036377138691,1282.31134947636,1017.63271455448,941.669775170802,0.925353284837216,0.700432980002298,0.402920272523061,"Chr5",491692,491114,"C","5",491403
"299","orf19.4024","Chr5","RIB5","1",3538.44908074809,5242.66278261968,4429.14191883498,3731.96925241607,0.842594191110883,0.621878909607264,0.351162845089766,"Chr5",1151749,1152462,"W","5",1152105.5
"304","orf19.4025","Chr5","PRE1","1",3546.96823804095,5918.19211365616,4573.66957565452,4137.34489480544,0.904600742657138,0.552511386676548,0.157867717178524,"Chr5",1152607,1153197,"W","5",1152902
"319","orf19.3977","Chr5","GIR1","1",588.35115834458,841.157930330911,642.394286734065,562.157386426332,0.875097114086026,0.954416013978667,0.92928272107541,"Chr5",1066761,1065652,"C","5",1066206.5
"333","orf19.4134","Chr5","","1",568.81971991761,958.645752282768,625.580807772004,665.414312188176,1.06367443489521,0.81581286943194,0.841560022848471,"Chr5",322260,321043,"C","5",321651.5
"337","orf19.925","Chr5","","1",543.823320320031,827.57054645754,575.633529828079,505.524551553948,0.87820553417889,0.996713000628964,0.994106716231895,"Chr5",146292,144766,"C","5",145529
"346","orf19.3922","Chr5","SDT1","1",1233.67393588968,2106.77541610436,1676.17201845615,1763.97528139102,1.05238320528447,0.745855770677695,0.401804945593363,"Chr5",964325,963462,"C","5",963893.5
"352","orf19.6665","Chr5","NUP4","1",3088.65400388041,3041.4721248579,3833.50205874742,2123.98928244458,0.554059773516485,0.136186585660869,0.0099350831433545,"Chr5",794551,796929,"W","5",795740
"373","orf19.4284","Chr5","PCH1/BUR2","1",1000.77884615385,2038.83001768347,1199.42597069145,1355.28531502549,1.12994494711848,0.840049304884424,0.618971403894517,"Chr5",602776,604356,"W","5",603566
"397","orf19.2649","Chr5","PCL1","1",945.986785874944,1363.82237243750,1102.81588061579,896.179002040808,0.812627944331381,0.340124971599396,0.140496641250061,"Chr5",750021,748900,"C","5",749460.5
"404","orf19.940","Chr5","BUD2(CLA2:ERC25)/BUD2","1",374.586740970174,365.026785714286,381.585963251733,232.275363954637,0.608710451441328,0.177310355174819,0.222681448132534,"Chr5",93594,89881,"C","5",91737.5
"406","orf19.1113","Chr5","","1",552.658802123663,921.05552134647,629.503230439121,612.087274189742,0.972333809570397,0.837782208470093,0.762671282827194,"Chr5",840145,839378,"C","5",839761.5
"414","orf19.1963","Chr5","GDS1","1",1548.38816203162,1396.88088297523,1736.58694026297,867.914691261739,0.499781883151965,0.0380731245274092,0.0198302357388431,"Chr5",231072,229549,"C","5",230310.5
"440","orf19.3929","Chr5","","1",608.043984436112,1021.99339904946,695.234753679576,710.142299258883,1.02144246313984,0.933874538127508,0.845227483187203,"Chr5",974713,975750,"W","5",975231.5
"447","orf19.4026","Chr5","HIS1","1",4396.07075754705,8473.0907382847,5438.10156615435,5336.16057970147,0.981254306266115,0.661619992413661,0.704811209352596,"Chr5",1154146,1153250,"C","5",1153698
"473","orf19.3163","Chr5","","1",362.425881224068,696.7814688966,372.121613085365,472.821101082902,1.27060908169942,0.286833352089064,0.328856123298743,"Chr5",463421,464407,"W","5",463914
"519","orf19.4287","Chr5","","1",522.448758667225,832.10215553251,580.571360860334,536.857030253397,0.924704638302935,0.976489746568317,0.962445563194236,"Chr5",606090,607187,"W","5",606638.5
"535","orf19.944","Chr5","IFG3","1",1202.88865795197,2004.41054947271,1482.04006951003,1378.58337647428,0.930193052695295,0.984579001764237,0.967251348314567,"Chr5",81598,80483,"C","5",81040.5
"543","orf19.4012","Chr5","PCL5","1",777.365148337245,1211.74829564432,933.924509685247,840.477964425391,0.89994207851837,0.574976977965159,0.327124293831268,"Chr5",1139330,1140244,"W","5",1139787
"577","orf19.3195","Chr5","GAP3/HIP1","1",1458.37102662159,3502.66092194287,1992.31777275486,2739.36462307959,1.37496370335128,0.497618612720835,0.0929754513746219,"Chr5",404636,402837,"C","5",403736.5
