orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired
QC-3prime	NA	NA	0	892.254911364696	1367.99259469541	935.30870848493	781.642878280929	0.835705763444759	0.0272458782474075	3.90543926615758e-07
QC-5prime	NA	NA	0	425.258880916363	635.146353357803	241.418399640917	195.793509765887	0.811013203869744	0.000675480637272506	2.29035302879444e-10
orf19.6002	Chr3	RPL8B/RPL81	1	14542.8984145266	34636.7505566428	18721.4995895821	22628.2977688524	1.20867976737527	0.173298307496928	0.319749887837331
orf19.6350	Chr1		1	327.943191865606	602.396770912789	119.531286589317	188.187112481837	1.57437536105845	0.250441826158716	0.390748649453526
orf19.1655	Chr3	PMP3/PXP2/POX1	1	7974.38140056153	15004.1735149632	10846.9866930997	11650.5473496883	1.07408146421898	0.911183601361052	0.576881479121159
orf19.6918	Chr7		1	649.737198876945	1132.38616355273	599.795313234383	616.86493175601	1.02845907286201	0.972292494200747	0.8425509889987
orf19.3780	Chr4		1	257.593980253463	369.645767956103	21.6095906578201	16.8483010815827	1	0.93215945986346	0.79975361913974
orf19.4163	Chr4		1	529.086961327029	670.516199221577	343.242081786093	192.184541027751	0.559909612561783	0.256845659800430	0.0275799621145616
orf19.3781	Chr4		1	409.431823923203	512.85846362533	235.699817402853	110.651716735312	0.469460341355244	0.40484248724059	0.194625887580998
orf19.5095	Chr1	OSH1	1	1073.77048597954	1692.07448089985	1035.37391860245	838.003973397691	0.809373269252169	0.524081409240976	0.151351274896052
orf19.1536	Chr2	196623..197660)	1	3731.47808264029	6556.96886998471	4429.02816397954	4009.73984879577	0.90533175684143	0.630910040239192	0.51780829292889
orf19.5268	Chr1	NUT2	1	252.189994631805	402.984353599972	19.6307287233965	43.0995386952504	1	0.505530826962803	0.344278130205304
orf19.187	Chr2		1	974.468169761273	1378.09256969019	969.65328225883	676.227323882261	0.697390847073681	0.561409501154121	0.155107597221998
orf19.3295	Chr1		1	476.913272072755	607.277401279117	290.750603594336	186.179652299447	0.640341412873592	0.372839034316760	0.271562127674172
orf19.2444	Chr1	CHS7	1	1121.66055787896	3075.63711607422	1107.06917972296	1730.27002268655	1.56292854536836	0.0316069501515021	0.0105243802991440
orf19.4993	Chr1	SEC18	1	1626.45402298851	3478.28576248313	1673.67974984193	1908.60039786865	1.14036176756569	0.789963373618214	0.630116808618071
orf19.5662	Chr4	PEP7	1	415.223006676727	885.923569423116	235.012158730391	343.919908361625	1.46341325580595	0.307032336164888	0.0177411469925726
orf19.3674	Chr1	GAL102	1	1258.66966044643	2487.00230766838	1561.05620664744	1838.79773839179	1.17791898239259	0.800880550047996	0.164437922360066
orf19.5464	Chr3		1	200.172104110852	222.262820512821	-36.5265957242164	-65.7728351456207	1	0.314690571466838	0.145785192902363
orf19.1985	ChrR		1	1599.43637110016	1923.2094017094	1763.27019264324	1012.27880720599	0.574091714037616	0.0641021385600567	0.106472448711790
orf19.1317	Chr4	OSH3	1	577.946079278656	1015.50485545014	422.306679965773	445.2716510541	1.05437984331716	0.877320772856722	0.679131383010936
orf19.3068	Chr3	PAK4	1	280.312299315929	332.679208472687	49.8544221528603	-5.88299866428013	1	0.458210729937179	0.308624226175937
orf19.7557	ChrR	FGR46	1	188.373109497883	262.641215106732	-56.9187058588725	-44.0173155012615	1	0.598221413349274	0.492066597185261
orf19.4424	Chr1	PHO3	1	277.421213566631	380.236263736264	69.0253050880249	46.9116451715198	1	0.589613162855307	0.227802390160683
orf19.4569	Chr4		1	432.06399204244	739.142835542345	251.817286332941	259.517714574664	1.03057942667026	0.931080945536866	0.669800000403336
orf19.2198	Chr2		1	446.488657746026	669.253036437247	267.377796524426	235.727818716084	0.881628249541467	0.362242144782784	0.425449192818185
orf19.5987	Chr3		1	901.633502273589	2060.11163463477	829.375208927192	1077.40100327211	1.29905137225616	0.234347015969564	0.0788721757416603
