orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired
orf19.6294	Chr5	MYO1	1	531.639366015614	521.418429888825	349.552037403088	105.881969301162	0.302907601648632	0.0409664123547575	0.00996416665749109
orf19.5636	Chr4	RBT5	1	736.307211857008	769.589273664932	655.817973838317	315.824512407597	0.481573431967968	0.0100452573293438	0.00745413492443044
orf19.3969	Chr5	HSR1	1	495.189736609428	478.783916577474	331.293877691706	106.111457414836	0.320294048758669	0.00320519174452669	0.00189019948638413
orf19.175	ChrR		1	406.435386015783	482.418284465585	215.642634831507	82.4088323387473	0.382154634695211	0.027654212142144	0.00189415141577010
orf19.3197	Chr5	PAPa(PAP1)/PAP1	1	1039.56976319533	659.325465243569	979.188661462898	226.619204733018	0.231435691253258	0.00272757446138967	0.00574621499367786
orf19.2823	ChrR	RFG1	1	1881.91091520062	2030.24333319853	2067.84660859568	1008.02814994562	0.487477236345975	1.72740534643735e-07	3.70364279343725e-07
orf19.2397.3	ChrR	TNA1	1	9950.7665699033	5459.05381089217	11638.7524882526	3199.91013870881	0.274935835428977	0.0113309950479854	0.0050186920876951
orf19.3190	Chr5	HAL9c/HAL9/ZNC3	1	351.873330650960	279.781710660478	144.241537696412	-39.2172985202701	0.00693281571987065	0.00492154529392627	0.00434690022131451
orf19.3978	Chr5		1	425.997207873796	501.711980548187	250.527843863417	113.889473753126	0.454598067810843	0.0195706618627200	0.00327468574704706
orf19.941	Chr5	SEC14	1	3119.49264186106	3141.26376285541	3784.93039591809	1840.81412381822	0.486353494321447	0.0867080545599911	0.00612326730135381
orf19.6817	Chr3	FCR1	1	1593.71983714259	1513.20545187571	1769.76834582621	846.536432413214	0.47833177399159	0.056281653394822	0.00407890028122408
orf19.3981	Chr5	MAL31	1	577.321870381081	418.699838677153	455.960662345036	107.853795608292	0.236541887305789	0.0382141059664796	0.00904380312976297
orf19.2593	ChrR	BIO2	1	3299.18680986285	2702.13256006949	3620.63437440855	1389.16021714813	0.383678679892955	0.0282906849181122	0.00866044762883547
orf19.4000	Chr5	PHO2	1	733.226633942596	675.893125552608	625.254594789365	220.586514532078	0.352794711738805	0.00628437684933681	0.00269654092113559
orf19.3440	Chr6	FUN34	1	612.9350132626	605.133228185406	480.512437488187	211.208153233489	0.439547734367814	0.000770896745551251	0.00559885899639462
orf19.3198	Chr5	OBPa/OBPA	1	1446.90454418540	281.994402867248	1476.40585889318	-34.3451680256337	0.000677320530785264	0.00862217683543435	0.00602919192595948
orf19.4301	Chr5		1	624.465910853615	588.647839541768	479.761735315821	152.836677736993	0.318567877524419	0.0147340838136718	0.00517884491740473
orf19.6298	Chr5	SBP4	1	372.765988800472	324.148203732142	172.097701352143	-4.95402026859862	0.00581065285673875	0.00147578558424070	0.00349580750818208
orf19.3181.1	Chr5	NCE11	1	1343.06487857021	1349.08077211394	1449.87653292595	691.491074207415	0.476931006540217	0.00391787454932066	0.00829033983134869
