orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired
orf19.5464	Chr3		1	200.172104110852	222.262820512821	172.373109195076	151.001330875677	0.792514631341983	0.58272423417767	0.595292024264192
orf19.7557	ChrR	FGR46	1	188.373109497883	262.641215106732	151.800264961137	171.847578259667	1.00397094865298	0.285576219469512	0.331716608586125
QC-LLD-3	NA	NA	0	230.509180972624	323.234013333875	201.05420558516	201.216669913227	0.997688245186664	0.0443954583743556	0.0647309674682743
QC-LLD-4	NA	NA	0	208.426610292309	341.357031190026	171.699020948006	213.648798858827	1.20263986274318	0.0102842621695778	0.0212075840421664
orf19.4356	ChrR	HGT3/YDL199C	1	212.389232924746	312.09255072194	180.932611706590	201.282574110952	1.06465453899455	0.256580410265091	0.277380809190816
orf19.5616	Chr6		1	207.821862486676	268.469085214287	176.884001440380	177.213660982788	0.941537405127142	0.295416860733079	0.317026549282635
orf19.5461	Chr3		1	203.953580901857	258.730163764272	171.608819463664	168.450675460789	0.918478240501712	0.538061425964499	0.55272224436275
orf19.2585	ChrR		1	205.839743589744	274.833824315912	180.526787034407	179.689364081376	0.913481522277497	0.540638214499136	0.560783086287824
orf19.1577	Chr2	GAT2	1	230.002557510044	333.316969961135	195.446411354919	208.552650942863	1.06705796999334	0.486880538517433	0.581261984991935
orf19.2169	Chr2		1	184.406510307599	232.221547458390	144.877179069396	151.656128077147	0.939761922668946	0.540502983697402	0.57044477603402
orf19.3655	Chr6		1	191.27774844022	246.535817912569	153.638040626940	156.293200728208	0.917740965980881	0.301570373257866	0.332543513085831
orf19.4365	ChrR	TRM1	1	227.329714787632	314.159138379528	203.094833515269	197.297871182783	0.950220247841115	0.296822559105353	0.330791597859313
orf19.6280	Chr1		1	174.838941696493	218.248018365986	136.438386948893	141.049476501387	0.870879624537233	0.556349994691295	0.571988252055132
orf19.2652	Chr5		1	220.106625704402	323.423913043478	193.730075838378	209.496130676757	1.03647586091635	0.342915376067485	0.371613554598667
orf19.6301	Chr?		1	198.477005107036	251.030672163918	176.067474180003	166.195060572050	0.831192789864247	0.561433034965591	0.564063718628463
orf19.3637	Chr2		1	194.374067352289	254.035770239037	154.428615778528	163.363277566503	1.00065463850199	0.520431634035017	0.549294333700544
orf19.4976	Chr1		1	225.652201624752	305.860308170091	201.951406795059	196.892372429552	0.940037076377674	0.531803484659001	0.554629929148951
orf19.1497	Chr2		1	228.737782508881	315.883258919991	194.890861911757	195.768049966572	0.970576980447234	0.469165274181272	0.492798153156128
orf19.2468	Chr1	TMT1	1	198.701633615427	258.108845946588	161.641185719945	163.168393502518	0.949342289644248	0.290824666659962	0.320098189238422
orf19.5036	Chr4		1	220.009426262144	306.144592590233	183.861096892587	190.589924787489	1.02741534247090	0.373250059538508	0.398223884502205
orf19.4017	Chr5		1	216.607886593141	261.670315681999	191.147607203646	175.214633091438	0.866002559717248	0.317412643764567	0.338263690824959
orf19.6502	Chr7		1	197.607537577365	278.586088537099	160.866510797909	173.215181332025	0.99939215249291	0.282381962455342	0.318996666164491
orf19.1227	Chr4		1	189.636288998358	240.455128205128	151.275950501389	152.686585826299	0.925888746319859	0.537960228445779	0.55345768541149
