orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired	w1	w2	w3	m1	m2	m3
orf19.6002	Chr3	RPL8B/RPL81	1	14542.8984145266	34636.7505566428	19018.4121156337	22447.0095963212	1.18027779921064	0.220795291709767	0.353278051267738	19490.8214285714	10913.5438596491	18862.0769230769	31423.6304347826	44371.8846153846	45466.1428571429
orf19.6350	Chr1		1	327.943191865606	602.396770912789	329.246620818375	400.819650072508	1.21738424854971	0.515218045364483	0.560427944387734	379.844827586207	394.519230769231	209.465517241379	629.804347826087	732.929824561404	444.456140350877
orf19.1655	Chr3	PMP3/PXP2/POX1	1	7974.38140056153	15004.1735149632	11133.3303828419	11777.9256828700	1.05789779678339	0.93878536070953	0.78247376116064	12785.6379310345	1855.40350877193	9993.25	17768.7826086957	3525.84482758621	19856.8793103448
orf19.6918	Chr7		1	649.737198876945	1132.38616355273	813.857280258422	825.876882091606	1.01476868503206	0.851403936219009	0.737912951693322	326.017241379310	905.206896551724	323.538461538462	415.065217391304	1897.07142857143	437.051724137931
orf19.3780	Chr4		1	257.593980253463	369.645767956103	230.743637727469	231.296169041100	0.98871850341557	0.460756693852549	0.469822030839926	417.724137931034	254.298245614035	369.326923076923	581.95652173913	336.578947368421	567.775862068965
orf19.4163	Chr4		1	529.086961327029	670.516199221577	552.961298837402	402.528730068363	0.727950999309856	0.253807980824155	0.113349596470043	639.634615384615	836.03448275862	594.557692307692	639.804347826087	918.365384615385	786.98076923077
orf19.3781	Chr4		1	409.431823923203	512.85846362533	446.543439884683	323.693059678759	0.724885936656804	0.866665577817554	0.843047417396948	283.75	727.017857142857	260.307692307692	304.847826086957	802.758620689655	393.035714285714
orf19.5095	Chr1	OSH1	1	1073.77048597954	1692.07448089985	1248.37891914562	1035.65639919723	0.82960099959556	0.559348068791587	0.0998971610871045	1778.23214285714	1258.70689655172	1392.48076923077	2570.23913043478	1257.59649122807	2713.05357142857
orf19.1536	Chr2	196623..197660)	1	3731.47808264029	6556.96886998471	4655.57211897459	4148.12119266611	0.891001382141567	0.454163326038999	0.305277671510057	4144.39285714286	5002.89473684210	3419.63461538462	4870.32608695652	10506.3793103448	6811.56140350877
orf19.5268	Chr1	NUT2	1	252.189994631805	402.984353599972	228.823998098855	257.500790307581	1.12532248560895	0.305300380386245	0.345440564157147	294.982142857143	297.096153846154	311.384615384615	438.5	452.826923076923	485.155172413793
orf19.187	Chr2		1	974.468169761273	1378.09256969019	1183.76209464409	879.0004865425	0.742548262458753	0.841837024067725	0.626610961519587	1819.39655172414	396.586206896552	1694.63461538462	2565.80434782609	488.846153846154	2954.58620689655
orf19.3295	Chr1		1	476.913272072755	607.277401279117	500.641932095889	398.515569543811	0.796009171416114	0.654240116924742	0.612844300374704	822.344827586207	426.428571428571	722.431034482759	866.565217391304	445.307692307692	871.76923076923
orf19.2444	Chr1	CHS7	1	1121.66055787896	3075.63711607422	1320.54279133430	1910.44304157739	1.44671043915740	0.0267548999562805	0.0349726285807281	1386.24137931034	1634	1310.46551724138	3278.17391304348	3992.44827586207	4189.63043478261
orf19.4993	Chr1	SEC18	1	1626.45402298851	3478.28576248313	1888.14026642073	2087.5841881768	1.10562982279603	0.824704383401599	0.49154413947496	985.568965517241	4168.06896551724	788.431034482759	1736.80769230769	3646.36842105263	1954.92307692308
orf19.5662	Chr4	PEP7	1	415.223006676727	885.923569423116	445.44848171641	552.766530992289	1.24092134933845	0.344075787509687	0.293705174206688	325.903846153846	673.607142857143	337.896551724138	662.076923076923	1036.11538461538	857.038461538462
orf19.3674	Chr1	GAL102	1	1258.66966044643	2487.00230766838	1784.98208660041	2047.23626706678	1.14692258394920	0.800507711213645	0.311071194550931	1061.15384615385	671.379310344828	958.896551724138	1705.23076923077	959.384615384615	2139.81132075472
orf19.5464	Chr3		1	200.172104110852	222.262820512821	172.813534551158	151.015487255400	0.790761064663522	0.583330573823587	0.59587551003679	218.964285714286	213.534482758621	168.017543859649	247.903846153846	245.173076923077	173.711538461538
orf19.1985	ChrR		1	1599.43637110016	1923.20940170940	1980.7512748194	1206.83189204748	0.609279876473897	0.0858461692940926	0.190242156994605	1917.96428571429	1658.84482758621	1221.5	2411.03846153846	2488.92307692308	869.666666666667
orf19.1317	Chr4	OSH3	1	577.946079278656	1015.50485545014	632.924087493578	652.296478248152	1.03060776345436	0.85544895514087	0.796580339344505	951.214285714286	571.543859649123	815.655172413793	1478.88461538462	864.333333333333	1613.32608695652
orf19.3068	NA	PAK4	1	280.312299315929	332.679208472687	259.051147465484	209.208722062281	0.807596199087117	0.967110972147273	0.972145451935551	358.263157894737	342.827586206897	139.846153846154	379.711538461538	449.717391304348	168.608695652174
