orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired
orf19.4413	Chr4	CMD1	1	8084.30494505495	25387.4951923077	10824.5084227136	16682.2521028840	1.54115563048376	0.266057288741386	0.00433981393044778
orf19.7050	Chr7	NOP15	1	400.551392572944	956.406865832796	401.849256789564	571.482627066132	1.42213185021616	0.0878414878098748	0.00705334743307364
orf19.7108	Chr7	RPE1	1	4371.67097701149	17227.6153200390	5777.07057358352	11457.0334313646	1.98319083788824	0.134722960660526	0.000721504187700929
orf19.5305	Chr4	RHD3/PGA29	1	3662.07854987823	14948.2082439357	5446.68768144732	12023.6490242856	2.20751578344412	0.113014474351395	0.00108813433036516
orf19.3130	Chr4		1	2463.51635720601	7279.95182697113	3162.05731768122	4971.17047680695	1.57213167800904	0.212287438061577	0.00584187411874363
orf19.3115	Chr4		1	1125.98457379850	5002.25319349435	1350.05624734225	3269.83625972538	2.42200002123056	1.22767941068287e-05	0.00103024195409303
orf19.7095	Chr7		1	1281.39215194336	4230.82894257262	1568.11051245153	2770.64065713679	1.76686568652949	0.00374744029617232	0.00896844589299319
orf19.1799	Chr4	GAP6	1	1720.07925372671	5988.72390247184	2243.31197727136	4398.28932188816	1.96062311727056	0.263964088746364	0.00372050747963301
orf19.4456	Chr1	GAP4	1	3771.15131398900	9745.90443020128	4691.46757955131	6388.00405813282	1.36162169935399	0.079623879445959	0.00284150509911337
orf19.2897	Chr4	SOU2	1	417.769566973911	972.920474763292	466.172929005162	633.213629518648	1.35832346779544	0.00391982396236383	0.00279060360107793
orf19.3123.2	Chr4	RPT5	1	3130.69117913571	11441.9908032958	3996.36914924731	7068.64659222059	1.76876718046728	0.061534744456071	0.00229223647300593
orf19.1639	Chr3		1	750.089355517441	4994.10861315535	885.622061129001	2966.82155707798	3.34998605759193	0.000382880722182541	0.00842152080263702
orf19.1224	Chr2	ADY2	1	2247.67905035577	6502.55458980674	2605.51812614643	3907.30361423182	1.49962634111885	0.196025453700344	0.0077319554325322
orf19.24	Chr2	RTA2	1	1149.30441322740	3326.68114500442	1354.77607914888	2137.19438575404	1.57752592376499	0.02819088817858	0.00676173968901215
orf19.1365	Chr2		1	1240.20700167797	6234.28802734622	1577.19141710744	3884.01181382753	2.46261282663508	0.000930158294597553	0.00962930677581627
orf19.1267.1	Chr4	CAJ1	1	3026.42834249084	9846.30702751574	3757.91481901277	6357.03841022714	1.69163983655627	0.00722805901317377	0.00161851613486250
orf19.5293	Chr4		1	1142.87938596491	4717.09114740875	1374.50020742728	2848.80018329218	2.07260804174371	0.0076634241614214	0.00633762159994387
orf19.6058	Chr1	GLO1	1	2086.8398793181	6585.6650611941	2546.72246595372	4096.86922131541	1.60868303322607	0.395011579037207	0.00766369125028572
orf19.7296	ChrR		1	1101.82772539771	3011.82455170863	1500.71172206745	2328.68931196082	1.55172327750776	0.341373608316433	0.00459408173201977
orf19.5334	Chr4	TIS11	1	2381.19423018754	7026.99914144889	3047.06740233155	4963.06227235889	1.62879963487557	0.0275527113111597	0.00443532164782233
orf19.7092	Chr7		1	954.978813357443	3556.85019578123	1151.89107461943	2287.55493126287	1.98591254126927	0.00255806202114896	0.00746585137666709
orf19.916	Chr?		1	1584.54960038834	3883.76617452672	1941.32641922756	2550.8798633238	1.31398812588085	0.301093590613660	0.0048394328508514
orf19.6035	Chr1		1	1622.71776783914	4777.67490537794	2151.72044413017	3308.19697251223	1.53746597590635	0.0833517514244117	0.0080114510321152
orf19.2549	ChrR	SHP1	1	1899.22309780862	5303.42204990574	2375.94442897725	3470.08011010432	1.46050558581374	0.402113328979129	0.000359468790481002
orf19.2896	Chr4	SOU1	1	2677.05193834721	11803.9325464388	3375.97109775355	7550.10225966583	2.2364238439985	3.01993419778172e-07	1.37259126280712e-17
orf19.7116	Chr7	LEO1	1	1717.17868641876	5845.76715426386	2153.05061305078	3957.46142984468	1.83807171362179	0.0205740752308655	0.0091424650482095
orf19.3097	Chr4	PDA1	1	11228.2396018229	36265.5959289249	14114.1096015399	23492.6924243161	1.66448278265835	0.000528827557442902	0.00110899801358147
orf19.3251	Chr2	ARC19	1	715.709702943256	1717.48640195759	876.924617334832	1155.99233935502	1.31823456258799	0.251666140443538	0.00436402165067715
orf19.5629	Chr6	QCR7	1	4323.84945980114	13412.2571712806	5642.96978039985	8785.29134683659	1.55685599759035	0.0357214245687548	0.00955680609056648
orf19.6520	Chr7		1	519.800287356322	1851.06705283192	535.078505732927	1092.39032877141	2.04155150518540	0.00949012425362823	0.00882693236107064
orf19.7103	Chr7	GFD2	1	695.214783405001	2269.06848852901	871.92908933537	1704.48143196261	1.95483950794881	0.201686435463253	0.0086205164438206
orf19.542.2	ChrR	HXK2	1	5476.83702514465	16814.6615688204	7067.51979070985	11195.1736358702	1.58403145196509	0.209769164858438	0.0034123962015011
orf19.6116	ChrR	GLK4	1	4585.39709746775	13985.5399913909	5895.38324466038	9195.92224446791	1.55985147408303	0.133096924851417	0.00122641889977676
orf19.3822	Chr4	SCS7	1	5103.3858390173	19975.2625257884	6525.49957284842	12314.0557964526	1.8870671370035	0.112780353226933	0.00302106714021433
orf19.6073	Chr1	HMX1/YLR205C	1	836.93263816087	3971.16374587552	955.5075509467	2320.68256380216	2.42874330140340	0.00718640651809038	0.00306133753368201
orf19.6659	Chr5	GAP5	1	2133.85626692148	6294.11906529866	2985.25866344877	4951.13234964826	1.65852708519683	0.356610737973323	0.00745111765897993
orf19.2531	ChrR	CSP37	1	3049.47799932451	9302.6633917353	3931.01604229536	6127.29339302202	1.55870475396082	0.00527585326851783	0.000693250677976883
orf19.3730	ChrR	KRE27	1	1075.11370560021	3073.76554685607	1316.59303995950	2038.85322054684	1.54858271209574	0.18901461409095	0.00782944163883183
orf19.3799	Chr4	RTN2	1	1598.46654489894	6156.83338180775	1883.74705884093	3780.28115969886	2.00678808864331	0.00865109806546503	0.00130867946191442
orf19.4879.2	Chr1	NTF2	1	1969.96770371441	6552.72154787388	2596.72190014632	4125.16378573421	1.58860438058529	0.0639002863631519	0.0042598196711745
orf19.2871	Chr4	SDH3/SDH12	1	1607.1784918101	5354.14018279726	1910.46677824448	3242.11068471313	1.69702541893573	0.0672476668029628	0.00917777813156064
orf19.3722	ChrR	FAP1	1	889.438549955791	2938.49613174182	1005.32292965079	1819.18668716380	1.80955455556526	0.0105882730287961	0.00627715988653165
orf19.1252	Chr4	YME1	1	2074.23146446827	6910.81115005684	2662.51514345297	4800.23780524747	1.80289596363464	0.0431270300184376	0.00835507658927397
orf19.7021	Chr7	GPH1	1	2787.22774830533	11361.4620543678	3387.29490264563	7180.61582708743	2.11986733764428	0.0144779641593491	0.00560440742734184
orf19.544	ChrR	PRE6	1	3170.86659554838	10637.7056966022	4088.40192206044	6653.15730103616	1.62732466813908	0.145161921480465	0.00946955557306021
orf19.4530.1	Chr1		1	982.1627230654	3310.07901646704	1209.27333749292	2080.07488783352	1.72010315893175	0.0362073032134397	0.00418447705546008
orf19.3789	Chr4	RPL24A	1	8383.14182256038	31368.6719891572	10691.7563428613	19555.2138179439	1.82899920189451	0.0536859957202388	0.00142998050039337
orf19.3140	Chr4	UMP1	1	964.091732979664	4122.43178616736	1189.86417992415	2606.66749018481	2.19072692006829	0.0948147077078878	0.00748470693987947
orf19.1467	Chr2	COX13	1	8448.35862504212	22592.8913951546	11800.9270765620	15999.1008591626	1.35574948945652	0.252912977653568	0.0080734084131573
orf19.3844	Chr4	MRP8	1	744.501547303271	2532.5686633139	868.522796577547	1551.57844296970	1.78645678511119	0.0030141798139004	0.00380370895576556
orf19.4444	Chr1	PHO15	1	1685.50161904540	4296.95577388431	2200.76692292256	2960.45619216608	1.34519296947387	0.255831985079582	0.00337160491777017
orf19.1193	Chr6	GNP2/GNP1	1	2462.36741292333	7843.88397566086	3374.71412275609	5525.78566395458	1.63740852201185	0.119990895765078	0.00110604259655881
orf19.449	Chr1	YKR70	1	2411.99927895943	6973.49524756852	3484.33623058878	5366.63952470282	1.54021861541071	0.470419005727869	0.00147732422698233
orf19.355	Chr3		1	6713.39776746242	33834.9584787566	8092.76283070221	19879.8070157736	2.45649198322653	0.00577767645115514	0.00111624200539175
orf19.5295	Chr4		1	798.425824175824	2235.36555912327	909.054511447478	1399.43257770897	1.53943747056562	0.304562174568609	0.0084979987767103
orf19.7119	Chr7	RAD3	1	1075.36464849679	3055.10217630726	1256.17609041615	1948.65304105035	1.55125786577007	0.00431246433355454	0.00793450903750022
orf19.1248	Chr4	RPB3	1	1268.04647242000	4339.03263856383	1545.13252393624	2712.91270092717	1.75577994696273	0.0582617873771639	3.93405243200284e-05
orf19.4411	Chr4	HOS1	1	724.742745042314	1806.69959778783	825.62153406553	1177.4111533263	1.42609065382353	0.0250371024716016	0.00286161745072417
orf19.6048	Chr1	PMT3	1	689.146119886365	1736.77421116895	765.091582206768	1117.93538642753	1.46117852088118	0.000561825720447579	0.00569621907765615
orf19.2278	Chr2		1	800.985953272258	2169.39355032697	938.026656868534	1313.03553883029	1.39978488800486	0.297175582412412	0.00681877260235556
orf19.1416	Chr4	COX11	1	822.55230420504	2266.82599652314	950.360520989879	1399.38372516090	1.47247670147675	0.190832216314354	0.00135526762114981
orf19.3122	Chr4	ARR3	1	1849.22221709778	7727.92325295445	2457.64032402063	4795.21237745248	1.95114489723527	0.0457637849480317	0.00489981108569833
orf19.4410	Chr4	ALG1	1	616.309726294073	1697.70818426840	673.55858535825	1035.53630599488	1.53741089269035	0.0146276346242802	0.000533491442833945
