orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired
orf19.5464	Chr3		1	200.172104110852	222.262820512821	-36.5265957242164	-65.7728351456207	1	0.314690571466838	0.145785192902363
orf19.7557	ChrR	FGR46	1	188.373109497883	262.641215106732	-56.9187058588725	-44.0173155012615	1	0.598221413349274	0.492066597185261
QC-LLD-3	NA	NA	0	230.509180972624	323.234013333875	-7.72157843555879	-13.8630755286915	1	0.660759108115859	0.324764964528985
QC-LLD-4	NA	NA	0	208.426610292309	341.357031190026	-36.9761959503438	-0.948822658723662	1	0.0567837435170971	0.00253378588335323
orf19.4356	ChrR	HGT3/YDL199C	1	212.389232924746	312.09255072194	-27.8339511011057	-14.2421833417281	1	0.577331651206487	0.405700653398892
orf19.5616	Chr6		1	207.821862486676	268.469085214287	-31.9106511363273	-38.9037635406682	1	0.808556779125173	0.638072261088551
orf19.5461	Chr3		1	203.953580901857	258.730163764272	-37.1718309568694	-47.7631552129358	1	0.675749275366384	0.642083451785817
orf19.2585	ChrR		1	205.839743589744	274.833824315912	-28.4181156888828	-36.27330909304	1	0.680847738148	0.674983539625621
orf19.1577	Chr2	GAT2	1	230.002557510044	333.316969961135	-13.2445043813668	-6.19226552693082	1	0.859195174480079	0.625845197894343
orf19.2169	Chr2		1	184.406510307599	232.221547458390	-63.8094898037961	-64.7011872515171	1	0.964196804396207	0.949846793897169
orf19.3655	Chr6		1	191.27774844022	246.535817912569	-55.0459094935647	-59.8543389729938	1	0.810199644014352	0.588133391969067
orf19.4365	ChrR	TRM1	1	227.329714787632	314.159138379528	-5.79794475424495	-17.9332236954970	1	0.671541085211383	0.439544304570637
orf19.6280	Chr1		1	174.838941696493	218.248018365986	-72.2882356595103	-75.597563205076	1	0.89221540755254	0.867846681512908
orf19.2652	Chr5		1	220.106625704402	323.423913043478	-15.1466735277287	-5.70057762189769	1	0.755524082546359	0.55280666470865
orf19.6301	Chr?		1	198.477005107036	251.030672163918	-32.9649994796722	-50.2857669758139	1	0.706720635842043	0.599536054797956
orf19.3637	Chr2		1	194.374067352289	254.035770239037	-54.2249738403562	-52.7030637576941	1	0.963315510866965	0.945939618083554
orf19.4976	Chr1		1	225.652201624752	305.860308170091	-6.94624722697917	-18.6119729052446	1	0.597454419468693	0.0870587082868875
orf19.1497	Chr2		1	228.737782508881	315.883258919991	-13.8018925133965	-19.3201771168765	1	0.902943200875964	0.524477812409701
orf19.2468	Chr1	TMT1	1	198.701633615427	258.108845946588	-47.0521168467006	-52.8428750478634	1	0.784692819603671	0.609011427403136
orf19.5036	Chr4		1	220.009426262144	306.144592590233	-24.7892330344867	-24.6420835882862	1	0.997270693344843	0.994429696058347
orf19.4017	Chr5		1	216.607886593141	261.670315681999	-17.7422040682260	-41.0201183577520	1	0.271050959844574	0.124041629667263
orf19.6502	Chr7		1	197.607537577365	278.586088537099	-47.8268869145046	-42.4251754031841	1	0.841711147390727	0.605972695721079
orf19.1227	Chr4		1	189.636288998358	240.455128205128	-57.4264713252099	-63.657355541248	1	0.840403617787565	0.834838151075821
orf19.6493	Chr7		1	220.220238095238	278.27708279319	-15.3512092921050	-39.9869142659927	1	0.454689985083946	0.544439534666358
orf19.2943.5	Chr1		1	196.835020242915	278.656697834329	-49.3270573439584	-43.7613150989504	1	0.890727425933029	0.781398919072938
orf19.4948	Chr1	REX3	1	201.898733211233	325.77023709805	-46.0530277589146	-11.8038676039150	1	0.539552611110391	0.259853839621763
orf19.6575	Chr7		1	209.275641025641	258.840280409246	-32.226730222614	-51.1340124976537	1	0.645121755861997	0.395014204546077
orf19.2510	Chr1	CIN1	1	211.399338448907	275.159676097054	-31.4438079814983	-44.0083759875857	1	0.744969823583763	0.350947654078218
orf19.2625	ChrR		1	204.606684981685	278.291271946444	-30.8879013548553	-34.2886427360657	1	0.907627411801054	0.865561254367565
orf19.4590	Chr4	RFX1	1	206.451068363548	298.916437728938	-38.0243375649788	-29.632650145057	1	0.80790181929116	0.217003441120129
orf19.5304	Chr4		1	223.30829726837	285.729206415686	-10.8119020658733	-34.7457147098141	1	0.426056497377142	0.109050270693001
orf19.3073	Chr4		1	227.586206896552	290.770917678812	-10.5301195827563	-27.8984658223757	1	0.615795463800526	0.464393223033122
QC-oligoB-AS-3	NA	NA	0	220.841646729416	300.436418491234	-13.2534747549657	-16.6325894290823	1	0.152919048729496	0.0270130626966695
orf19.3904	Chr5		1	214.638058555309	285.273983200707	-23.005065361087	-35.0908026956445	1	0.674944270205371	0.400558782023194
orf19.3471	Chr2		1	216.389699381079	331.667646126811	-25.48008501724	-1.56816281261897	1	0.569733885746487	0.451745664913277
orf19.133	Chr6		1	229.607142857143	287.860963748895	-6.30701174251457	-30.8213830887897	1	0.632630359123988	0.480116781553378
orf19.7464	ChrR		1	204.816243194192	270.256305298768	-35.2126376216076	-38.2424186596843	1	0.883889858667953	0.81865326389514
orf19.1958	Chr5		1	190.022877984085	205.168859649123	-58.8369404061429	-87.4781337318362	1	0.58877755356144	0.393394342419269
orf19.4970	Chr1		1	191.994005377059	282.490688649313	-53.4489973864517	-35.4709209504128	1	0.379744640984539	0.172662391754184
orf19.2457	Chr1		1	219.970883720228	262.515405168536	-11.6018960609186	-46.7956459159197	1	0.316124926465443	0.125914035514435
