orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired
QC-3prime	NA	NA	0	892.254911364696	1367.99259469541	1149.01696864075	988.240915703697	0.860075127413266	0.133167595609234	0.00867922517744324
QC-5prime	NA	NA	0	425.258880916363	635.146353357803	450.954824399769	407.196284583777	0.902964693028319	0.149425824760817	0.197310795977666
orf19.6002	Chr3	RPL8B/RPL81	1	14542.8984145266	34636.7505566428	18987.9507340297	22448.6608754394	1.18225822206329	0.216512538243826	0.348805966786397
orf19.6350	Chr1		1	327.943191865606	602.396770912789	328.670818553032	400.80837451994	1.21948269178412	0.513124455720071	0.558453756749745
orf19.1655	Chr3	PMP3/PXP2/POX1	1	7974.38140056153	15004.1735149632	11107.0492921175	11770.7607102820	1.05975587221311	0.936794228373096	0.775747475471326
orf19.6918	Chr7		1	649.737198876945	1132.38616355273	811.835126555156	825.592335048607	1.01694581577398	0.849480491405371	0.734484202759269
orf19.3780	Chr4		1	257.593980253463	369.645767956103	230.365857676989	231.348081038085	0.990540025180399	0.459719990305842	0.468745298692449
orf19.4163	Chr4		1	529.086961327029	670.516199221577	552.368043579982	402.679841154904	0.729006404036471	0.257352293589822	0.114195161646649
orf19.3781	Chr4		1	409.431823923203	512.85846362533	445.596849342376	323.748178007074	0.72654952225284	0.864817497447923	0.840847008680979
orf19.5095	Chr1	OSH1	1	1073.77048597954	1692.07448089985	1246.67238279597	1035.96185050123	0.830981631419342	0.563085165356465	0.101165899340598
orf19.1536	Chr2	196623..197660)	1	3731.47808264029	6556.96886998471	4649.18582192272	4148.84110622441	0.892380142488821	0.459853572470374	0.30933266669802
orf19.5268	Chr1	NUT2	1	252.189994631805	402.984353599972	228.425599358909	257.533590072829	1.12742875927923	0.303912757601177	0.343989528722309
orf19.187	Chr2		1	974.468169761273	1378.09256969019	1181.69306294604	879.118616491974	0.743948360245317	0.84382777652081	0.630381640847488
orf19.3295	Chr1		1	476.913272072755	607.277401279117	499.996157391919	398.525947034842	0.79705801963286	0.658268549024874	0.616869257704234
orf19.2444	Chr1	CHS7	1	1121.66055787896	3075.63711607422	1318.67548048293	1910.91033631641	1.44911342070044	0.0265057348116966	0.0339980660736540
orf19.4993	Chr1	SEC18	1	1626.45402298851	3478.28576248313	1885.92594172812	2088.25884370087	1.10728570910231	0.822266517862934	0.485763375087514
orf19.5662	Chr4	PEP7	1	415.223006676727	885.923569423116	444.63138871485	552.875920305217	1.24344779594449	0.342020391978244	0.291557345175019
orf19.3674	Chr1	GAL102	1	1258.66966044643	2487.00230766838	1779.68294901635	2045.67057257766	1.14945787040794	0.797913110168483	0.304945826671396
orf19.5464	Chr3		1	200.172104110852	222.262820512821	172.373109195076	151.001330875677	0.792514631341983	0.58272423417767	0.595292024264192
orf19.1985	ChrR		1	1599.43637110016	1923.2094017094	1977.52717771090	1207.09137578722	0.61040444318166	0.0868410181861995	0.190303324480754
orf19.1317	Chr4	OSH3	1	577.946079278656	1015.50485545014	632.033788486726	652.370855730464	1.03217718358449	0.850658720135634	0.789468956469662
orf19.3068	Chr3	PAK4	1	280.312299315929	332.679208472687	258.650175183340	209.248913073143	0.809003562146516	0.969456410608478	0.974115708535714
orf19.7557	ChrR	FGR46	1	188.373109497883	262.641215106732	151.800264961137	171.847578259667	1.00397094865298	0.285576219469512	0.331716608586125
orf19.4424	Chr1	PHO3	1	277.421213566631	380.236263736264	278.380549823969	262.064343656389	0.928242724588542	0.453885315717433	0.458545260539101
orf19.4569	Chr4		1	432.06399204244	739.142835542345	461.459982420786	469.857208774685	1.01819708463093	0.80948596475239	0.787536935997758
orf19.2198	Chr2		1	446.488657746026	669.253036437247	476.973000417444	447.361303304294	0.93791745636077	0.79059504758067	0.841025070117032
orf19.5987	Chr3		1	901.633502273589	2060.11163463477	1040.12433805220	1271.60613425822	1.22255204280626	0.301539174826355	0.149067606750918
orf19.1508	Chr2		1	271.797619047619	398.070970695971	257.755384917736	260.406902004877	1.0102869512813	0.663844297839126	0.724466373029963
orf19.2500	Chr1		1	586.122221169635	1104.85537160208	655.947196131005	696.871883754582	1.06239021656768	0.814177918017912	0.707108351144851
orf19.7424	Chr3	NSA2	1	430.970159151194	913.097968069666	460.503782270421	572.025767718037	1.24217387509345	0.474342126158921	0.529373555802862
orf19.397	Chr1	MRPL28	1	1388.27968960864	2683.90309383095	1607.80881206263	1542.3441856348	0.95928332651452	0.663897306629436	0.443044792398589
orf19.2677	Chr4	GPI16	1	728.705625552608	1246.82327586207	815.775645084662	792.688995451473	0.971699756210799	0.872408691149196	0.846153323093984
orf19.1237	Chr4	ARO9	1	921.995247568523	2857.68345944991	1060.33749235826	1742.1184002771	1.64298481646868	0.0156861335803864	0.0347977789367198
orf19.4413	Chr4	CMD1	1	8084.30494505495	25387.4951923077	10824.5084227136	16682.2521028840	1.54115563048376	0.266057288741386	0.00433981393044778
orf19.6233	Chr1		1	1226.26929724843	2588.91862896511	1422.47394321458	1582.11009345235	1.11222430540767	0.722771767705652	0.346411324624786
orf19.5537	Chr6	WSC2	1	735.001327506432	993.573155645524	832.86673148553	629.678992675367	0.756038113747503	0.080658620193582	0.0181157068043312
orf19.2748	Chr4	ARG83	1	260.800836225178	340.119117145206	242.191992640585	213.918512079564	0.883260052271919	0.649520796430424	0.666457506835778
orf19.2179	Chr2	RPS10/SIT1/ARN1/YHL040C	1	16038.2759558624	35577.6951870725	20531.2279854616	21034.2757700625	1.02450159264498	0.842861905020856	0.821879683393052
orf19.4752	Chr1	MSN4	1	739.416224303021	1153.12306005398	884.272415926859	808.768706705738	0.914614876749287	0.750220741896426	0.563504482266328
orf19.5364	Chr4	ECM2	1	1343.21172363380	2865.23686974389	1669.31610723539	1899.13362361969	1.13767165810489	0.397472230595138	0.307438621744532
