orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired
orf19.5464	Chr3		1	200.172104110852	222.262820512821	172.813534551158	151.015487255400	0.790761064663522	0.583330573823587	0.59587551003679
orf19.7557	ChrR	FGR46	1	188.373109497883	262.641215106732	152.151891667028	171.834244397286	1.00183499998928	0.286245243265115	0.332389201181848
QC-LLD-3	NA	NA	0	230.509180972624	323.234013333875	201.438276268426	201.167724821878	0.995549707296869	0.0449128417690319	0.0654059855024786
QC-LLD-4	NA	NA	0	208.426610292309	341.357031190026	172.031196745378	213.595649003441	1.20009669754117	0.0103921092234127	0.0213971660737588
orf19.4356	ChrR	HGT3/YDL199C	1	212.389232924746	312.09255072194	181.310537014126	201.263304307288	1.06242883991752	0.257186081031084	0.277998884683108
orf19.5616	Chr6		1	207.821862486676	268.469085214287	177.274849943485	177.211432305350	0.939574461863401	0.296093260606497	0.317705558396608
orf19.5461	Chr3		1	203.953580901857	258.730163764272	171.992032794370	168.440930169207	0.916510081352934	0.538636461433592	0.553286821836249
orf19.2585	ChrR		1	205.839743589744	274.833824315912	180.989722370253	179.680039032368	0.911289478375361	0.541216780654338	0.561337564520666
orf19.1577	Chr2	GAT2	1	230.002557510044	333.316969961135	195.787764805684	208.501341253325	1.06493550023546	0.48915638973894	0.583336360115326
orf19.2169	Chr2		1	184.406510307599	232.221547458390	145.211492433148	151.645608548878	0.937754059820883	0.54109249673279	0.571007012651136
orf19.3655	Chr6		1	191.27774844022	246.535817912569	153.973118901983	156.266584958452	0.915782829654668	0.302260367793205	0.333244669203491
orf19.4365	ChrR	TRM1	1	227.329714787632	314.159138379528	203.535908614546	197.256437311843	0.948006850907324	0.297502944188590	0.331480126589401
orf19.6280	Chr1		1	174.838941696493	218.248018365986	136.791487942178	141.037360283179	0.86891046383235	0.556951902337377	0.572574806872367
orf19.2652	Chr5		1	220.106625704402	323.423913043478	194.161858705305	209.475075352553	1.03416247845685	0.343811469450474	0.372506989183163
orf19.6301	NA		1	198.477005107036	251.030672163918	176.572034562835	166.197812922654	0.829114316586267	0.562028672263027	0.564646907466111
orf19.3637	Chr2		1	194.374067352289	254.035770239037	154.747912851230	163.343316822281	0.998579349570907	0.521001827168728	0.549847317371053
orf19.4976	Chr1		1	225.652201624752	305.860308170091	202.395186483335	196.870452560161	0.937945134181673	0.532361739498073	0.555170824489182
orf19.1497	Chr2		1	228.737782508881	315.883258919991	195.233762969911	195.7157865392	0.968671097834736	0.47024274672103	0.493895776690238
orf19.2468	Chr1	TMT1	1	198.701633615427	258.108845946588	161.980989197197	163.139209387908	0.94729964571781	0.291495977226095	0.320782893312812
orf19.5036	NA		1	220.009426262144	306.144592590233	184.182902511046	190.542306062482	1.02537985434094	0.374192273695431	0.39920161633196
orf19.4017	Chr5		1	216.607886593141	261.670315681999	191.586100884033	175.221040702748	0.864161362284308	0.318121918938934	0.33896554588338
orf19.6502	Chr7		1	197.607537577365	278.586088537099	161.206688139991	173.172224161857	0.997187118701373	0.283034344733017	0.319666649702114
orf19.1227	Chr1		1	189.636288998358	240.455128205128	151.6184237094	152.663841767443	0.923832256767606	0.538544328710491	0.554033353792563
orf19.6493	Chr7		1	220.220238095238	278.27708279319	194.004362445588	175.921666084788	0.902001694580425	0.541273363791658	0.55221069370019
orf19.2943.5	Chr1		1	196.835020242915	278.656697834329	159.698411323057	171.908561917496	1.00590666156564	0.518511743468199	0.541927991431898
orf19.4948	Chr1	REX3	1	201.898733211233	325.77023709805	162.917801694960	202.956262675888	1.17831688335009	0.363356717843012	0.390392653329373
orf19.6575	Chr7		1	209.275641025641	258.840280409246	176.850485811572	164.887240691207	0.874287810507719	0.549246301096116	0.57147806574709
orf19.2510	Chr3	CIN1	1	211.399338448907	275.159676097054	177.632893775028	171.733624694285	0.906126909487438	0.458974807629441	0.46944815483631
orf19.2625	ChrR		1	204.606684981685	278.291271946444	178.471579112365	181.805058057634	0.931877902751778	0.532962204833061	0.539426543314807
orf19.4590	Chr4	RFX1	1	206.451068363548	298.916437728938	170.985412870552	185.698815676506	1.02999552994152	0.289410887036420	0.325437987243127
orf19.5304	Chr4		1	223.308297268370	285.729206415686	198.485508576160	180.821329373213	0.877052146413248	0.553573831545867	0.582251857271256
orf19.3073	Chr4		1	227.586206896552	290.770917678812	198.638989688378	187.766491596655	0.945265035284461	0.576160299550745	0.606969799745687
QC-oligoB-AS-3	NA	NA	0	220.841646729416	300.436418491234	196.109970706299	199.039565602553	0.97894922170313	3.17650982759465e-29	8.14644802696394e-27
orf19.3904	Chr5		1	214.638058555309	285.273983200707	186.201863093775	180.625992418519	0.918385034031967	0.295415329858432	0.317671121207217
orf19.3471	Chr6		1	216.389699381079	331.667646126811	183.583514605202	213.668892189616	1.13700479772399	0.48152425748015	0.501921909119418
orf19.133	Chr6		1	229.607142857143	287.860963748895	202.841321683653	184.847845607220	0.883874432281939	0.542928126556114	0.566968805908069
