orf	chr	gene	geneflag	WtMean	MutMean	fold.mut.by.wt	p	p.paired
QC-3prime	NA	NA	0	1042.92906884098	1130.96573748568	1.08441290138986	0.101395437267350	0.00053884357167322
QC-5prime	NA	NA	0	484.615816004546	486.519904541111	1.00392906808586	0.908965858572601	0.789732131597902
orf19.6002	Chr3	RPL8B/RPL81	1	16842.7701125332	26922.9441220733	1.59848670629537	0.00469327389693946	0.0096111062493877
orf19.6350	Chr1		1	376.268641626815	475.805914611896	1.26453778490476	0.247658405177601	0.183996038575265
orf19.1655	Chr3	PMP3/PXP2/POX1	1	9381.87989397446	13153.3045576508	1.40199029472745	0.57103551445983	0.165401683509605
orf19.6918	Chr7		1	762.121494611318	937.697569704847	1.23037806482951	0.688698787762626	0.153072211429731
orf19.3780	Chr4		1	292.248274396748	279.659427062594	0.95692413459022	0.852632205970813	0.205916593822125
orf19.4163	Chr4		1	595.411791653301	500.307133924934	0.840270785594811	0.544688459148343	0.0668895384143163
orf19.3781	Chr4		1	469.220710199172	394.021561253398	0.839736083017618	0.585580292140183	0.325776981459646
orf19.5095	Chr1	OSH1	1	1210.64589560485	1276.76365956118	1.05461362748295	0.845830570116938	0.657808967459553
orf19.1536	Chr2	196623..197660)	1	4261.77775563356	5011.0899785891	1.17582151532070	0.461310367609653	0.124776469681428
orf19.5268	Chr1	NUT2	1	288.729975215833	310.873583004199	1.07669313784207	0.653250108188283	0.238138208084972
orf19.187	Chr2		1	1122.28159231847	1062.01458652744	0.94629956848305	0.902577804908865	0.390530701026121
orf19.3295	Chr1		1	540.499966053023	475.345175018345	0.879454588109472	0.604162211991361	0.417944966357622
orf19.2444	Chr1	CHS7	1	1270.81910724182	2328.61651709134	1.83237449281461	0.0154128445869611	0.00325220767102443
orf19.4993	Chr1	SEC18	1	1810.82835058523	2666.32804596850	1.47243555420744	0.47140915794615	0.346493440948858
orf19.5662	Chr4	PEP7	1	475.706373455454	682.634849086507	1.43499201855960	0.187940924597931	0.0538041656904787
orf19.3674	Chr1	GAL102	1	1510.59061776606	2257.90237442996	1.49471494650818	0.450544923786582	0.0904093879820687
orf19.5464	Chr3		1	231.280739356137	176.540626649655	0.76331746059411	0.0634880570431951	0.0774835233400724
orf19.1985	ChrR		1	1833.51422391084	1455.86922076488	0.794032138817853	0.309245920103315	0.104841959984081
orf19.1317	Chr4	OSH3	1	655.475182768381	782.790211936332	1.19423318001185	0.459279422883803	0.031106949419421
orf19.3068	Chr3	PAK4	1	318.483682716324	254.070492206021	0.797750421745543	0.494815899876088	0.17773251827996
orf19.7557	ChrR	FGR46	1	216.496414061277	200.807918308675	0.92753461612458	0.644835164482397	0.553940506603063
