orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired
orf19.7050	Chr7	NOP15	1	400.551392572944	956.406865832796	401.849256789564	571.482627066132	1.42213185021616	0.132974874930418	0.00250088849572085
orf19.3115	Chr4		1	1125.98457379850	5002.25319349435	1350.05624734225	3269.83625972538	2.42200002123056	0.00061462032483836	0.00211956450571027
orf19.4456	Chr1	GAP4	1	3771.15131398900	9745.90443020128	4691.46757955131	6388.00405813282	1.36162169935399	0.092427628294648	0.00675856068245098
orf19.2897	Chr4	SOU2	1	417.769566973911	972.920474763292	466.172929005162	633.213629518648	1.35832346779544	0.0177574294877403	0.0096228914639305
orf19.3123.2	Chr4	RPT5	1	3130.69117913571	11441.9908032958	3996.36914924731	7068.64659222059	1.76876718046728	0.0676337574988308	0.00831952948218576
orf19.7124	Chr7	RVS161	1	3287.59313131896	9785.36673658785	4694.8157236561	7132.47552599723	1.51922374504676	0.244208816652692	0.00240686966506917
orf19.1701	Chr3	RKI1	1	592.619466022483	1707.81259528685	658.835995326999	1098.83245881794	1.66783913843773	0.00418223670112434	0.00730237772547639
orf19.1267.1	Chr4	CAJ1	1	3026.42834249084	9846.30702751574	3757.91481901277	6357.03841022714	1.69163983655627	0.0116021017943907	0.0042255740777803
orf19.916	Chr?		1	1584.54960038834	3883.76617452672	1941.32641922756	2550.8798633238	1.31398812588085	0.299364206721815	0.00875703233382294
orf19.6035	Chr1		1	1622.71776783914	4777.67490537794	2151.72044413017	3308.19697251223	1.53746597590635	0.115854352988216	0.00266127430082691
orf19.2896	Chr4	SOU1	1	2677.05193834721	11803.9325464388	3375.97109775355	7550.10225966583	2.2364238439985	1.30674135592815e-06	2.58211588714304e-11
orf19.6602	Chr2		1	596.656457280806	1772.09733038941	681.276333561376	1109.24526750273	1.62818699675673	0.0114317886254207	0.00627827403153032
orf19.3097	Chr4	PDA1	1	11228.2396018229	36265.5959289249	14114.1096015399	23492.6924243161	1.66448278265835	0.00212201818273433	0.00205879795883955
orf19.3251	Chr2	ARC19	1	715.709702943256	1717.48640195759	876.924617334832	1155.99233935502	1.31823456258799	0.265460556914436	0.000714110644380563
orf19.5629	Chr6	QCR7	1	4323.84945980114	13412.2571712806	5642.96978039985	8785.29134683659	1.55685599759035	0.0442599805377347	0.00603925829119618
orf19.423	Chr1	DCP1	1	1103.06939318802	2754.15063107467	1381.19801561488	1842.63802395885	1.33408678779382	0.219211850454014	0.00687927916511789
orf19.3785	Chr4		1	456.862551770673	1268.61961546217	484.14233592618	799.61749834701	1.65161655779868	0.0160204560087768	0.00536122469568089
orf19.542.2	ChrR	HXK2	1	5476.83702514465	16814.6615688204	7067.51979070985	11195.1736358702	1.58403145196509	0.242642276426732	0.00559067198448363
orf19.6073	Chr1	HMX1/YLR205C	1	836.93263816087	3971.16374587552	955.5075509467	2320.68256380216	2.42874330140340	0.0170564637182383	0.0088404895587218
orf19.1276	Chr4	YOR054	1	393.690597352423	1101.40441489420	431.765055372634	722.894002783343	1.67427630788567	0.117182501090276	0.00279726990780042
orf19.2531	ChrR	CSP37	1	3049.47799932451	9302.6633917353	3931.01604229536	6127.29339302202	1.55870475396082	0.00406043550468213	0.000257067040715242
orf19.3799	Chr4	RTN2	1	1598.46654489894	6156.83338180775	1883.74705884093	3780.28115969886	2.00678808864331	0.0164130315625320	0.00886188455869947
orf19.4879.2	Chr1	NTF2	1	1969.96770371441	6552.72154787388	2596.72190014632	4125.16378573421	1.58860438058529	0.0617647097504496	0.00887269985679902
orf19.4015	Chr5	GPA1/CAG1	1	256.865454292085	1413.11013483643	245.031967139025	965.770431794571	3.94140586255269	0.00158954722493429	0.00167150547136055
orf19.7021	Chr7	GPH1	1	2787.22774830533	11361.4620543678	3387.29490264563	7180.61582708743	2.11986733764428	0.0226844578010506	0.00784671670014398
orf19.5492	Chr2	YHC1	1	720.629486105222	1832.03177738054	888.090831654096	1249.86767439354	1.40736468595855	0.181314366375927	0.0087164282862812
orf19.4530.1	Chr1		1	982.1627230654	3310.07901646704	1209.27333749292	2080.07488783352	1.72010315893175	0.0476080491104558	0.007910195475872
orf19.7074	Chr7	SGF29	1	460.269359078895	1228.49831258460	494.202253316351	774.607615915899	1.56738989091588	0.0308956948381083	0.00458679118125169
orf19.4960	Chr1	SPE4	1	1326.37428160920	3419.65883773934	1661.22602886683	2196.13358767095	1.32199565231289	0.124288408720212	0.0087108854150026
orf19.3846	Chr4	LYS4	1	554.478433041047	1712.65367097153	604.246517245121	1019.62547820818	1.68743294186759	0.0415991246855957	0.00719081022493351
orf19.709	ChrR	PUP2	1	1302.15400404194	3859.18280504533	1634.90506107587	2444.53214991422	1.49521351919087	0.0262118681179469	0.00834784953743025
orf19.3844	Chr4	MRP8	1	744.501547303271	2532.5686633139	868.522796577547	1551.57844296970	1.78645678511119	0.00136310573394366	0.00206456394669409
orf19.4444	Chr1	PHO15	1	1685.50161904540	4296.95577388431	2200.76692292256	2960.45619216608	1.34519296947387	0.342166808423894	0.00379017773032076
orf19.1193	Chr6	GNP2/GNP1	1	2462.36741292333	7843.88397566086	3374.71412275609	5525.78566395458	1.63740852201185	0.137773749939291	0.00767751622796957
orf19.355	Chr3		1	6713.39776746242	33834.9584787566	8092.76283070221	19879.8070157736	2.45649198322653	0.0090091037445913	0.00242914554704558
orf19.3815	Chr4	UBP7	1	746.131239626476	1962.14375378100	899.861719525652	1252.83665472987	1.39225464040218	0.0394965718745981	0.00517310736004799
orf19.1815	ChrR	TIF6	1	3877.16113198462	10731.5731495516	5171.50524300707	6972.88576639877	1.34832808606886	0.324914509303193	0.00621262235160645
orf19.1248	Chr4	RPB3	1	1268.04647242000	4339.03263856383	1545.13252393624	2712.91270092717	1.75577994696273	0.0620506511248389	0.00364651317821509
orf19.4411	Chr4	HOS1	1	724.742745042314	1806.69959778783	825.62153406553	1177.4111533263	1.42609065382353	0.0272357461402367	0.00405769656437938
orf19.6048	Chr1	PMT3	1	689.146119886365	1736.77421116895	765.091582206768	1117.93538642753	1.46117852088118	0.000475749766006338	0.00596316497233832
orf19.1416	Chr4	COX11	1	822.55230420504	2266.82599652314	950.360520989879	1399.38372516090	1.47247670147675	0.189336572485686	0.00328016479591180
orf19.4410	Chr4	ALG1	1	616.309726294073	1697.70818426840	673.55858535825	1035.53630599488	1.53741089269035	0.0191247434922462	0.000483885946654872
orf19.4943	Chr1	PSA2	1	1601.93215200767	4821.91184540152	1971.22814805156	2986.30592690189	1.51494687707948	0.0164113512038055	0.00812996920249702
orf19.3084	Chr4	SAS4	1	487.212841038272	1287.88561658900	538.520661250499	819.410137372513	1.52159461341699	0.0246259050501539	0.00405049590092525
orf19.3795	Chr4	AGP3	1	644.434032140475	1613.17677150436	692.115893068095	956.833327755978	1.38247559019980	0.19735150036089	0.00419922214912594
orf19.1095	Chr6	GLE2	1	473.068886573197	1088.28598740441	508.791488853981	675.831821463842	1.32830803240461	0.0695125567783036	0.00138330437418265
