orf	chr	gene	geneflag	WtMean	MutMean	fold.mut.by.wt	p	p.paired
orf19.6002	Chr3	RPL8B/RPL81	1	16842.7701125332	26922.9441220733	1.59848670629537	0.00469327389693946	0.0096111062493877
orf19.1290	Chr4	XKS2	1	350.390274150652	525.67047550672	1.50024277009671	0.00467404096606043	0.00592081919873742
orf19.7098	Chr7		1	589.792315869845	1435.05446298774	2.43315218658160	0.00217407082223110	0.00105606674439749
orf19.3115	Chr4		1	1283.88314765934	3879.38364746370	3.02160181363564	1.89273305529177e-05	9.88105167246767e-06
orf19.7095	Chr7		1	1464.59141546746	3294.58204490263	2.24948884044297	0.00202544109932272	0.00123749091869639
orf19.4456	Chr1	GAP4	1	4269.21741537235	7603.70543959284	1.78105369199841	0.00785514509432072	0.000751012158892734
orf19.386	Chr1	SAM4	1	1156.82187171552	2374.77657383116	2.0528455001542	0.00124301329906425	0.00152938659873710
orf19.2897	Chr4	SOU2	1	482.841651159	752.18353518175	1.55782653252102	1.69933692814943e-05	6.94437575021908e-08
orf19.7676	ChrR	SOR1	1	17724.5941019459	28383.8606912334	1.60138283156043	0.0090915704512644	2.34246922769435e-08
orf19.1701	Chr3	RKI1	1	672.411390729788	1326.54454775174	1.97281688864908	0.00527077773651798	0.00235067343227028
orf19.24	Chr2	RTA2	1	1297.65250107946	2555.76038214247	1.96952603259844	0.00936309529236063	0.000915526265215844
orf19.7292	ChrR	ARP2	1	2913.96742244189	5125.35929725105	1.75889382214027	0.00126751486155968	0.000625955138438943
orf19.1365	Chr2		1	1436.97056149394	4736.19102392481	3.29595549890796	0.00662242486036853	0.00774847929573307
orf19.6225	Chr1	PET117/PCL7	1	377.297069552308	602.028172581747	1.59563437186539	0.00307325434501288	0.00263428227636273
orf19.7260	Chr1		1	822.452890943526	1298.10773863619	1.57833689069655	4.85687308446525e-06	6.72954714584896e-05
orf19.1267.1	Chr4	CAJ1	1	3448.30457830673	7635.10573164948	2.21416222327978	0.00258040614135509	0.000210261870775764
orf19.2511.1	Chr1	MRPL33	1	535.320410337023	891.860407318477	1.66603101637202	0.00508019949389667	0.0047471092176713
orf19.86	Chr6	GPX2	1	3131.21738465375	6736.82878378424	2.15150465656003	0.00619226556883438	0.0221745083280808
orf19.2698	Chr4		1	1149.26103989777	2055.43689668201	1.78848566628940	0.00175739048490743	0.00418165744378511
orf19.4371	ChrR	TAL1	1	6036.77949169569	10754.3122094023	1.78146513785971	0.00750280353630199	0.00279172175984193
orf19.7571	ChrR	UBC4	1	3065.00826031832	5203.31896293187	1.69765250890106	2.72004834555602e-05	3.7213232786121e-05
orf19.7104	Chr7		1	892.440497436303	1990.73434629465	2.23066339101979	1.76291027623469e-05	1.94538034601940e-05
orf19.1723	Chr3		1	929.194849556786	1775.00925469803	1.9102659205921	0.00462972125867877	0.00764170857023087
orf19.2742	Chr4		1	810.9695832882	1450.09266035549	1.78809747028472	0.00933096836482116	0.0433651609705308
orf19.5351	Chr4	TIF11	1	5706.07994844984	8803.22046957438	1.54277902677580	0.00233388816069900	0.00557908537139456
orf19.5334	Chr4	TIS11	1	2736.41885843306	5741.13137385094	2.09804553720203	0.00168571225530986	0.00154093555895596
orf19.7084	Chr7		1	1916.37533695875	4183.90567432422	2.18323915656523	0.00579952386946142	0.0100493477946214
orf19.7092	Chr7		1	1093.66198853229	2772.93678902205	2.53546051531275	0.0053187508988594	0.00534007188948275
