"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","fold.mut.by.wt","p","p.paired","sd.ratio"
"2723","orf19.362","CTA2",5423.481543,11233.08783,6893.948002,NA,6682.278759,NA,0.969296368,NA,0.953550205,0.812151682,1.067506616,0.077069092,0.997917583,0.052123733,"Ca21chr4","W",983,1660,"orf19.362","Chr4","CTA2",1,5423.48,11233.09,6893.95,6682.28,0.97,0.95,0.81,0.68
"5191","orf19.364","VMA6",2923.699273,5216.145485,3664.728413,NA,3465.836225,NA,0.945727987,NA,0.5731807,0.588467518,1.060600724,0.108314621,1.048278996,0.058748159,"Ca21chr4","W",2845,3891,"orf19.364","Chr4","VMA6",1,2923.7,5216.15,3664.73,3465.84,0.95,0.57,0.59,0.28
"1185","orf19.366","RAD17",575.611265,1307.150179,647.2048868,NA,833.744789,NA,1.288223878,NA,0.139648068,0.204023965,1.139040766,0.107976062,1.125908508,0.109138338,"Ca21chr4","C",4904,3894,"orf19.366","Chr4","RAD17",1,575.61,1307.15,647.2,833.74,1.29,0.14,0.2,0.63
"1466","orf19.367","CNH1",765.9500442,1195.727126,897.1318835,NA,783.0349016,NA,0.87282028,NA,0.633965668,0.581663693,1.144853828,0.196330728,1.120650004,0.183528327,"Ca21chr4","W",5033,7435,"orf19.367","Chr4","CNH1(NHA1)/CNH1",1,765.95,1195.73,897.13,783.03,0.87,0.63,0.58,0.61
"4965","orf19.371","",1441.159372,2411.833132,1847.489674,NA,1606.513172,NA,0.86956544,NA,0.685074137,0.511873255,1.175573166,0.321135247,1.146691028,0.219456265,"Ca21chr4","W",7507,8355,"orf19.371","Chr4","",1,1441.16,2411.83,1847.49,1606.51,0.87,0.69,0.51,0.23
"5864","orf19.372","",443.6378697,799.8037135,479.5547775,NA,503.3747616,NA,1.049671039,NA,0.70903212,0.717488025,1.14543534,0.191488555,1.104265827,0.17949946,"Ca21chr4","W",8369,8995,"orf19.372","Chr4","",1,443.64,799.8,479.55,503.37,1.05,0.71,0.72,0.74
"5241","orf19.374","",3224.411102,6383.43776,4054.410138,NA,4060.647406,NA,1.001538391,NA,0.934986857,0.871342906,1.134512266,0.158965302,1.115079705,0.157793682,"Ca21chr4","C",11315,8937,"orf19.374","Chr4","",1,3224.41,6383.44,4054.41,4060.65,1,0.93,0.87,0.27
"3330","orf19.376","BDE99",1239.535714,2280.198695,1519.393158,NA,1410.479268,NA,0.928317507,NA,0.695038414,0.680341469,1.143756025,0.225030269,1.120929741,0.183768668,"Ca21chr4","C",12630,11383,"orf19.376","Chr4","BDE99",1,1239.54,2280.2,1519.39,1410.48,0.93,0.7,0.68,0.48
"2176","orf19.377","PHR3",220.9365618,315.0362305,189.6725688,NA,201.1578254,NA,1.034260201,NA,0.337909279,0.363584554,1.113032464,0.213463774,1.077794629,0.160154321,"Ca21chr4","W",12792,14307,"orf19.377","Chr4","PHR3(GAS1)",1,220.94,315.04,189.67,201.16,1.03,0.34,0.36,7.14
"1116","orf19.5633","",491.841804,734.8852943,528.3109416,NA,494.7177944,NA,0.936414061,NA,0.785124757,0.765920049,1.139874476,0.229026648,1.127076958,0.236262883,"Ca21chr4","C",15704,14304,"orf19.5633","Chr4","",1,491.84,734.89,528.31,494.72,0.94,0.79,0.77,0.45
