orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired
orf19.5464	Chr3		1	200.172104110852	222.262820512821	172.373109195076	151.001330875677	0.876014429285416	0.868732215567708	0.878117646851746
orf19.7557	ChrR	FGR46	1	188.373109497883	262.641215106732	151.800264961137	171.847578259667	1.13206375696157	0.795427623759148	0.83896671313007
QC-LLD-3	NA	NA	0	230.509180972624	323.234013333875	201.05420558516	201.216669913227	1.00080806232127	0.99574825345655	0.996490427384717
QC-LLD-4	NA	NA	0	208.426610292309	341.357031190026	171.699020948006	213.648798858827	1.24432159064858	0.215489577216680	0.338953804357808
orf19.4356	ChrR	HGT3/YDL199C	1	212.389232924746	312.09255072194	180.932611706590	201.282574110952	1.11247260630584	0.779465122824489	0.808155085908937
orf19.5616	Chr6		1	207.821862486676	268.469085214287	176.884001440380	177.213660982788	1.00186370468626	0.996534423393755	0.996835823664165
orf19.5461	Chr3		1	203.953580901857	258.730163764272	171.608819463664	168.450675460789	0.981596843258143	0.97869350405542	0.981134069094391
orf19.2585	ChrR		1	205.839743589744	274.833824315912	180.526787034407	179.689364081376	0.99536122607183	0.994874256934003	0.995602135255665
orf19.1577	Chr2	GAT2	1	230.002557510044	333.316969961135	195.446411354919	208.552650942863	1.06705796999334	0.849454226640297	0.886084350732003
orf19.2169	Chr2		1	184.406510307599	232.221547458390	144.877179069396	151.656128077147	1.04679100636342	0.952074173720988	0.961436062676622
orf19.3655	Chr6		1	191.27774844022	246.535817912569	153.638040626940	156.293200728208	1.01728191853028	0.970093603163849	0.97479545265531
orf19.4365	ChrR	TRM1	1	227.329714787632	314.159138379528	203.094833515269	197.297871182783	0.971456869521748	0.941024744377983	0.95125821283434
orf19.6280	Chr1		1	174.838941696493	218.248018365986	136.438386948893	141.049476501387	1.03379613066095	0.969437399806365	0.97250490009817
orf19.2652	Chr5		1	220.106625704402	323.423913043478	193.730075838378	209.496130676757	1.08138155508458	0.841054613699232	0.870150930687678
orf19.6301	Chr?		1	198.477005107036	251.030672163918	176.067474180003	166.195060572050	0.943928237433222	0.944789417956076	0.944650528851645
orf19.3637	Chr2		1	194.374067352289	254.035770239037	154.428615778528	163.363277566503	1.05785625768211	0.93391929910923	0.947039901485293
orf19.4976	Chr1		1	225.652201624752	305.860308170091	201.951406795059	196.892372429552	0.974949249199133	0.968761594832079	0.97424809889623
orf19.1497	Chr2		1	228.737782508881	315.883258919991	194.890861911757	195.768049966572	1.00450091936692	0.990417891850393	0.991682502958485
orf19.2468	Chr1	TMT1	1	198.701633615427	258.108845946588	161.641185719945	163.168393502518	1.00944813523714	0.98188309986583	0.984771652703731
orf19.5036	Chr4		1	220.009426262144	306.144592590233	183.861096892587	190.589924787489	1.03659734445527	0.926709183157442	0.93873736916957
orf19.4017	Chr5		1	216.607886593141	261.670315681999	191.147607203646	175.214633091438	0.916645704619083	0.837994138667324	0.855817643628404
orf19.6502	Chr7		1	197.607537577365	278.586088537099	160.866510797909	173.215181332025	1.07676346352554	0.863303809995338	0.886811304066578
orf19.1227	Chr4		1	189.636288998358	240.455128205128	151.275950501389	152.686585826299	1.00932491463603	0.989745694867253	0.990875454061358
orf19.6493	Chr7		1	220.220238095238	278.27708279319	193.558392255391	175.949560274595	0.90902573752751	0.87418300009652	0.885979588356767
orf19.2943.5	Chr1		1	196.835020242915	278.656697834329	159.361242799835	171.954087279646	1.07902074719402	0.912040947199029	0.925051430709821
orf19.4948	Chr1	REX3	1	201.898733211233	325.77023709805	162.598668657111	203.009618930827	1.24853186442094	0.622752941669777	0.682999976607774
orf19.6575	Chr7		1	209.275641025641	258.840280409246	176.494099801538	164.911631700284	0.934374757488903	0.927003691774554	0.937532505321008
orf19.2510	Chr1	CIN1	1	211.399338448907	275.159676097054	177.277631613449	171.771969612746	0.968943278683299	0.940475715256284	0.945082920559077
orf19.2625	ChrR		1	204.606684981685	278.291271946444	178.024355590406	181.811364952793	1.02127242280882	0.976478284060807	0.977611847782943
orf19.4590	Chr4	RFX1	1	206.451068363548	298.916437728938	170.651846142939	185.745330836562	1.08844606744530	0.840463587904853	0.864578164000654
orf19.5304	Chr4		1	223.30829726837	285.729206415686	198.056317666326	180.854372575560	0.913146193499634	0.894069185134634	0.91488432944919
orf19.3073	Chr4		1	227.586206896552	290.770917678812	198.252000212685	187.785470726700	0.947205932476062	0.928192440081641	0.941657218555
QC-oligoB-AS-3	NA	NA	0	220.841646729416	300.436418491234	195.660523470569	199.041362406780	1.01727910605697	0.615001228135814	0.663121010057949
orf19.3904	Chr5		1	214.638058555309	285.273983200707	185.80294183598	180.655875666305	0.972298252552865	0.946945302807616	0.952918635805069
orf19.3471	Chr2		1	216.389699381079	331.667646126811	183.231566510166	213.690778068378	1.16623342876088	0.799520263214359	0.832633960174381
orf19.133	Chr6		1	229.607142857143	287.860963748895	202.459112556766	184.870418768962	0.913124711623575	0.89714871498259	0.913723835962523
orf19.7464	ChrR		1	204.816243194192	270.256305298768	173.588462458969	177.797913085185	1.02424959911844	0.95455280854239	0.960656195009138
orf19.1958	Chr5		1	190.022877984085	205.168859649123	149.756158810162	129.180113596867	0.862603011610503	0.87170587439328	0.88588390603161
orf19.4970	Chr1		1	191.994005377059	282.490688649313	155.249613685603	180.21723086545	1.16082241100070	0.73440188003135	0.782904590409633
orf19.2457	Chr1		1	219.970883720228	262.515405168536	197.325960825484	169.290736098226	0.85792429637754	0.743895190104446	0.764486760856493
orf19.1620	Chr3		1	184.879506458454	241.123342175066	145.672565623351	149.222351939273	1.02436825561994	0.975774073711213	0.978726383573668
orf19.4275	Chr5	RAD9	1	194.359226010428	233.339767272957	156.067535218313	147.799422541043	0.94702221275101	0.907337927043817	0.918754326935622
orf19.218	Chr2	BUD20	1	193.225108942781	291.755529346855	153.773809448690	182.931846023173	1.18961640268275	0.69258171884838	0.748901426160702
orf19.723	Chr1	USV1/BCR1	1	227.785051155741	323.954247159802	194.678164620297	203.833405315169	1.04702756835996	0.901526004360053	0.921265149008141
orf19.6977	Chr3	GPI1	1	197.289689633205	223.172421826006	167.86019407268	145.243311520325	0.86526357438523	0.766295324581424	0.776999198612447
orf19.3529	Chr2		1	203.768385369442	251.382234321436	167.181218534175	161.452981623268	0.96573636105101	0.932647666440532	0.9444239484442
orf19.2282	Chr2	HQD1	1	210.405288583778	272.898281905413	175.370268564472	174.226525461753	0.993478124244882	0.98687349181395	0.988536883881856
orf19.4095	Chr2		1	185.720021206863	249.931034482759	145.524226607662	161.821377191696	1.11198926092197	0.891346635672476	0.918080940638015
orf19.2713	Chr4	MSH5	1	187.180127041742	245.729361533808	148.370569124435	156.512852337449	1.05487802103249	0.906235154311547	0.923707396499346
orf19.6181	Chr3		1	191.478529826934	239.10861121637	151.928174746683	153.685190698909	1.01156478023352	0.987132883900409	0.989498614722853
orf19.4239	Chr5		1	203.156437318983	281.751367116952	164.301767225088	178.153288901166	1.08430537242549	0.848265062258032	0.876816485804902
orf19.5724	Chr6		1	219.893015030946	322.880405095794	186.956371954331	204.019179369672	1.09126625231853	0.83503673291365	0.849429272032358
orf19.3572.3	Chr2		1	206.981257310905	310.04204476709	178.618800064268	211.155033031838	1.18215458258517	0.684290379207183	0.661095375934594
orf19.6488	Chr7		1	211.971196503638	274.030472991285	175.722430774438	170.358739838486	0.969476344526344	0.935520030326749	0.945511021929405
orf19.1930	Chr5	FRE4/CFL5	1	208.977027283062	314.350394893646	180.806771735946	207.216463603743	1.14606583378617	0.739072425941556	0.771430982556643
orf19.2481	Chr1		1	206.902472527473	289.467282492130	174.998004895403	187.318737933163	1.07040499144618	0.859133775062062	0.882358532690546
orf19.5042	Chr4		1	179.92042052523	220.303966148794	135.498057700603	139.133933565266	1.02683341685013	0.972076697540012	0.976802539174536
orf19.7455	Chr3		1	221.913734657156	311.249011121969	193.701580114849	197.22055457957	1.01816698894575	0.962530485280441	0.970094422382645
