"","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","fold.mut.by.wt","p","p.paired","chr.combimatrix","start","end","strand","chr2","loc"
"992","orf19.3197","Chr5","PAPa(PAP1)/PAP1","1",1039.56976319533,659.325465243569,1190.08754822736,438.512544740693,0.368470828380535,0.000330127743870446,0.00219118625165195,"Chr5",400512,402179,"W","5",401345.5
"2435","orf19.3200","Chr5","MATa2/MTLA2/A2","1",197.626068376068,258.715046070082,160.981218907409,164.456792232639,0.958089513027434,0.30392160022548,0.348826370623295,"Chr5",395255,394595,"C","5",394925
"2643","orf19.3199","Chr5","PIKa/PIKA","1",940.558971201213,449.682095907779,1079.39486330072,282.054121333214,0.261307637198413,0.00781041316989129,0.00132382813317348,"Chr5",398240,395370,"C","5",396805
"3190","orf19.3201","Chr5","MATa1/MTLA1/A1","1",236.077940901103,246.973785265421,211.729497544124,157.491389569857,0.726020734837367,0.555684701624117,0.569104471291047,"Chr5",394490,393820,"C","5",394155
"4078","orf19.3198","Chr5","OBPa/OBPA","1",1446.90454418540,281.994402867248,1688.26104751871,181.025402268700,0.107225954501977,3.10245277529683e-05,0.000155798875516234,"Chr5",400106,398805,"C","5",399455.5
"6224","orf19.3982","Chr5","","1",1040.84980299998,520.89958380772,1113.66027834971,333.933653270223,0.299852351531356,0.0909372824576283,0.0301879020119669,"Chr5",1078956,1080704,"W","5",1079830
"176","orf19.2653","Chr5","","1",236.217871158887,328.425110909458,209.940819413176,203.622600738465,0.964203431772427,0.354423456821948,0.389243968834222,"Chr5",740209,736928,"C","5",738568.5
"253","orf19.1980","Chr5","GIT4","1",249.504320316707,335.872236958444,224.987541174025,212.846011215048,0.94603465642755,0.523517127906499,0.556672443911914,"Chr5",201150,199552,"C","5",200351
"328","orf19.2652","Chr5","","1",220.106625704402,323.423913043478,193.730075838378,209.496130676757,1.03647586091635,0.342915376067485,0.371613554598667,"Chr5",741788,742447,"W","5",742117.5
"365","orf19.4330","Chr5","","1",265.729064870399,324.477122967338,239.788683448734,202.491035907613,0.84445618114795,0.966184545341735,0.9688748199114,"Chr5",672478,674550,"W","5",673514
"374","orf19.584","Chr5","CCP2","1",240.730106377792,332.722610017528,215.679532768883,212.928637595034,0.958824023442171,0.460488692907619,0.474487338683028,"Chr5",191769,190894,"C","5",191331.5
"528","orf19.4017","Chr5","","1",216.607886593141,261.670315681999,191.147607203646,175.214633091438,0.866002559717248,0.317412643764567,0.338263690824959,"Chr5",1147509,1146565,"C","5",1147037
